rxn_cpd	concerns@reaction	consumes@compound	produces@compound	stoichiometry	compartment
RXN-12181_Starch__1_c	RXN-12181	Starch		1	c
RXN-12181__Cyclodextrins_1_c	RXN-12181		Cyclodextrins	1	c
RXN-14386_S-CD-S-SP-Complex__1_c	RXN-14386	S-CD-S-SP-Complex		1	c
RXN-14386__CD-2S-SP-Complex_1_c	RXN-14386		CD-2S-SP-Complex	1	c
TREHALA-RXN_WATER__1_c	TREHALA-RXN	WATER		1	c
TREHALA-RXN__GLC_1_c	TREHALA-RXN		GLC	1	c
TREHALA-RXN__ALPHA-GLUCOSE_1_c	TREHALA-RXN		ALPHA-GLUCOSE	1	c
TREHALA-RXN_TREHALOSE__1_c	TREHALA-RXN	TREHALOSE		1	c
RXN-602__WATER_2_c	RXN-602		WATER	2	c
RXN-602__CPD-591_1_c	RXN-602		CPD-591	1	c
RXN-602_CPD-590__1_c	RXN-602	CPD-590		1	c
RXN-602_2-KETOGLUTARATE__1_c	RXN-602	2-KETOGLUTARATE		1	c
RXN-602__SUC_1_c	RXN-602		SUC	1	c
RXN-602__CARBON-DIOXIDE_1_c	RXN-602		CARBON-DIOXIDE	1	c
RXN-602__PROTON_1_c	RXN-602		PROTON	1	c
RXN-602_OXYGEN-MOLECULE__1_c	RXN-602	OXYGEN-MOLECULE		1	c
RXN-17930_ATP__1_c	RXN-17930	ATP		1	c
RXN-17930__PPI_1_c	RXN-17930		PPI	1	c
RXN-17930_RNA-3-prime-P-cyclase-L-histidine__1_c	RXN-17930	RNA-3-prime-P-cyclase-L-histidine		1	c
RXN-17930__RNA-3-prime-P-cyclase-L-His-adenylate_1_c	RXN-17930		RNA-3-prime-P-cyclase-L-His-adenylate	1	c
RXN66-15_OXYGEN-MOLECULE__1_c	RXN66-15	OXYGEN-MOLECULE		1	c
RXN66-15_CPD-8610__1_c	RXN66-15	CPD-8610		1	c
RXN66-15_PROTON__1_c	RXN66-15	PROTON		1	c
RXN66-15__NAD-P-OR-NOP_1_c	RXN66-15		NAD-P-OR-NOP	1	c
RXN66-15__WATER_1_c	RXN66-15		WATER	1	c
RXN66-15_NADH-P-OR-NOP__1_c	RXN66-15	NADH-P-OR-NOP		1	c
RXN66-15__CPD-8611_1_c	RXN66-15		CPD-8611	1	c
ENOYL-COA-DELTA-ISOM-RXN__TRANS-D2-ENOYL-COA_1_c	ENOYL-COA-DELTA-ISOM-RXN		TRANS-D2-ENOYL-COA	1	c
ENOYL-COA-DELTA-ISOM-RXN_CIS-DELTA3-ENOYL-COA__1_c	ENOYL-COA-DELTA-ISOM-RXN	CIS-DELTA3-ENOYL-COA		1	c
RXN66-478__CPD-14926_1_c	RXN66-478		CPD-14926	1	c
RXN66-478__PROTON_1_c	RXN66-478		PROTON	1	c
RXN66-478__NADH_1_c	RXN66-478		NADH	1	c
RXN66-478_PHYTOL__1_c	RXN66-478	PHYTOL		1	c
RXN66-478_NAD__1_c	RXN66-478	NAD		1	c
RXN-14089_CPD-15094__1_c	RXN-14089	CPD-15094		1	c
RXN-14089__CPD-12046_2_c	RXN-14089		CPD-12046	2	c
RXN-14089_WATER__1_c	RXN-14089	WATER		1	c
3.1.21.5-RXN_Double-Stranded-DNAs__1_c	3.1.21.5-RXN	Double-Stranded-DNAs		1	c
3.1.21.5-RXN_WATER__1_c	3.1.21.5-RXN	WATER		1	c
3.1.21.5-RXN__Double-Stranded-DNA-with-terminal-PO4s_1_c	3.1.21.5-RXN		Double-Stranded-DNA-with-terminal-PO4s	1	c
RXN0-1147__Oxo-glutarate-dehydro-suc-DH-lipoyl_1_c	RXN0-1147		Oxo-glutarate-dehydro-suc-DH-lipoyl	1	c
RXN0-1147__CO-A_1_c	RXN0-1147		CO-A	1	c
RXN0-1147_Oxo-glutarate-dehydrogenase-DH-lipoyl__1_c	RXN0-1147	Oxo-glutarate-dehydrogenase-DH-lipoyl		1	c
RXN0-1147_SUC-COA__1_c	RXN0-1147	SUC-COA		1	c
RXN66-146_NICOTINE__1_c	RXN66-146	NICOTINE		1	c
RXN66-146_OXYGEN-MOLECULE__1_c	RXN66-146	OXYGEN-MOLECULE		1	c
RXN66-146__Ox-NADPH-Hemoprotein-Reductases_1_c	RXN66-146		Ox-NADPH-Hemoprotein-Reductases	1	c
RXN66-146_Red-NADPH-Hemoprotein-Reductases__1_c	RXN66-146	Red-NADPH-Hemoprotein-Reductases		1	c
RXN66-146__CPD-3187_1_c	RXN66-146		CPD-3187	1	c
RXN66-146__WATER_1_c	RXN66-146		WATER	1	c
N-CARBAMOYLPUTRESCINE-AMIDASE-RXN_PROTON__2_c	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN	PROTON		2	c
N-CARBAMOYLPUTRESCINE-AMIDASE-RXN_CPD-597__1_c	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN	CPD-597		1	c
N-CARBAMOYLPUTRESCINE-AMIDASE-RXN__AMMONIUM_1_c	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN		AMMONIUM	1	c
N-CARBAMOYLPUTRESCINE-AMIDASE-RXN__PUTRESCINE_1_c	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN		PUTRESCINE	1	c
N-CARBAMOYLPUTRESCINE-AMIDASE-RXN_WATER__1_c	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN	WATER		1	c
N-CARBAMOYLPUTRESCINE-AMIDASE-RXN__CARBON-DIOXIDE_1_c	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN		CARBON-DIOXIDE	1	c
RXN-14789_CPD-15677__1_c	RXN-14789	CPD-15677		1	c
RXN-14789__CPD-15661_1_c	RXN-14789		CPD-15661	1	c
RXN-14789_OXYGEN-MOLECULE__1_c	RXN-14789	OXYGEN-MOLECULE		1	c
RXN-14789__HYDROGEN-PEROXIDE_1_c	RXN-14789		HYDROGEN-PEROXIDE	1	c
PREPHENATE-TRANSAMINE-RXN_CPD-659__1_c	PREPHENATE-TRANSAMINE-RXN	CPD-659		1	c
PREPHENATE-TRANSAMINE-RXN__GLT_1_c	PREPHENATE-TRANSAMINE-RXN		GLT	1	c
PREPHENATE-TRANSAMINE-RXN__PREPHENATE_1_c	PREPHENATE-TRANSAMINE-RXN		PREPHENATE	1	c
PREPHENATE-TRANSAMINE-RXN_2-KETOGLUTARATE__1_c	PREPHENATE-TRANSAMINE-RXN	2-KETOGLUTARATE		1	c
RXN-7651_PROTON__1_c	RXN-7651	PROTON		1	c
RXN-7651_OXYGEN-MOLECULE__1_c	RXN-7651	OXYGEN-MOLECULE		1	c
RXN-7651__5734-TETRAHYDROXYFLAVONE_1_c	RXN-7651		5734-TETRAHYDROXYFLAVONE	1	c
RXN-7651__NADP_1_c	RXN-7651		NADP	1	c
RXN-7651__WATER_1_c	RXN-7651		WATER	1	c
RXN-7651_NADPH__1_c	RXN-7651	NADPH		1	c
RXN-7651_CPD-431__1_c	RXN-7651	CPD-431		1	c
RXN-13684_WATER__1_c	RXN-13684	WATER		1	c
RXN-13684__S-Substituted-L-Cysteines_1_c	RXN-13684		S-Substituted-L-Cysteines	1	c
RXN-13684__ACET_1_c	RXN-13684		ACET	1	c
RXN-13684_Mercapturates__1_c	RXN-13684	Mercapturates		1	c
RXN-17130_OXYGEN-MOLECULE__1_c	RXN-17130	OXYGEN-MOLECULE		1	c
RXN-17130__HYDROGEN-PEROXIDE_1_c	RXN-17130		HYDROGEN-PEROXIDE	1	c
RXN-17130__PROTON_1_c	RXN-17130		PROTON	1	c
RXN-17130__AMMONIA_1_c	RXN-17130		AMMONIA	1	c
RXN-17130__PHENYL-PYRUVATE_1_c	RXN-17130		PHENYL-PYRUVATE	1	c
RXN-17130_PHE__1_c	RXN-17130	PHE		1	c
RXN-17130_WATER__1_c	RXN-17130	WATER		1	c
RXN-17607__AMMONIUM_1_c	RXN-17607		AMMONIUM	1	c
RXN-17607_2-HYDROXY-2-METHYLPROPANENITRILE__1_c	RXN-17607	2-HYDROXY-2-METHYLPROPANENITRILE		1	c
RXN-17607__CPD-19014_1_c	RXN-17607		CPD-19014	1	c
RXN-17607_WATER__2_c	RXN-17607	WATER		2	c
GCVP-RXN__CARBON-DIOXIDE_1_c	GCVP-RXN		CARBON-DIOXIDE	1	c
GCVP-RXN_PROTON__1_c	GCVP-RXN	PROTON		1	c
GCVP-RXN_PROTEIN-LIPOYLLYSINE__1_c	GCVP-RXN	PROTEIN-LIPOYLLYSINE		1	c
GCVP-RXN_GLY__1_c	GCVP-RXN	GLY		1	c
GCVP-RXN__AMINOMETHYLDIHYDROLIPOYL-GCVH_1_c	GCVP-RXN		AMINOMETHYLDIHYDROLIPOYL-GCVH	1	c
CYSTEINE--TRNA-LIGASE-RXN__Charged-CYS-tRNAs_1_c	CYSTEINE--TRNA-LIGASE-RXN		Charged-CYS-tRNAs	1	c
CYSTEINE--TRNA-LIGASE-RXN_CYS-tRNAs__1_c	CYSTEINE--TRNA-LIGASE-RXN	CYS-tRNAs		1	c
CYSTEINE--TRNA-LIGASE-RXN_ATP__1_c	CYSTEINE--TRNA-LIGASE-RXN	ATP		1	c
CYSTEINE--TRNA-LIGASE-RXN__AMP_1_c	CYSTEINE--TRNA-LIGASE-RXN		AMP	1	c
CYSTEINE--TRNA-LIGASE-RXN__PPI_1_c	CYSTEINE--TRNA-LIGASE-RXN		PPI	1	c
CYSTEINE--TRNA-LIGASE-RXN_CYS__1_c	CYSTEINE--TRNA-LIGASE-RXN	CYS		1	c
3.4.21.83-RXN_OLIGOPEPTIDES__1_c	3.4.21.83-RXN	OLIGOPEPTIDES		1	c
3.4.21.83-RXN__Peptides-holder_1_c	3.4.21.83-RXN		Peptides-holder	1	c
3.4.21.83-RXN_WATER__1_c	3.4.21.83-RXN	WATER		1	c
RXN-10973__PROTON_1_c	RXN-10973		PROTON	1	c
RXN-10973__CPD-11939_1_c	RXN-10973		CPD-11939	1	c
RXN-10973_ATP__1_c	RXN-10973	ATP		1	c
RXN-10973__ADP_1_c	RXN-10973		ADP	1	c
RXN-10973_CPD-11937__1_c	RXN-10973	CPD-11937		1	c
PGLUCONDEHYDRAT-RXN_CPD-2961__1_c	PGLUCONDEHYDRAT-RXN	CPD-2961		1	c
PGLUCONDEHYDRAT-RXN__WATER_1_c	PGLUCONDEHYDRAT-RXN		WATER	1	c
PGLUCONDEHYDRAT-RXN__2-KETO-3-DEOXY-6-P-GLUCONATE_1_c	PGLUCONDEHYDRAT-RXN		2-KETO-3-DEOXY-6-P-GLUCONATE	1	c
RXN0-6522_9S-RRNA__1_c	RXN0-6522	9S-RRNA		1	c
RXN0-6522__5S-rRNAs_1_c	RXN0-6522		5S-rRNAs	1	c
RXN0-6522_WATER__2_c	RXN0-6522	WATER		2	c
RXN0-6522__rRNA-fragments_2_c	RXN0-6522		rRNA-fragments	2	c
RXN-16114_CPD-17368__1_c	RXN-16114	CPD-17368		1	c
RXN-16114__NADP_1_c	RXN-16114		NADP	1	c
RXN-16114__CPD-17323_1_c	RXN-16114		CPD-17323	1	c
RXN-16114_NADPH__1_c	RXN-16114	NADPH		1	c
RXN-16114_PROTON__1_c	RXN-16114	PROTON		1	c
KDO-8PSYNTH-RXN_PHOSPHO-ENOL-PYRUVATE__1_c	KDO-8PSYNTH-RXN	PHOSPHO-ENOL-PYRUVATE		1	c
KDO-8PSYNTH-RXN__Pi_1_c	KDO-8PSYNTH-RXN		Pi	1	c
KDO-8PSYNTH-RXN_WATER__1_c	KDO-8PSYNTH-RXN	WATER		1	c
KDO-8PSYNTH-RXN__KDO-8P_1_c	KDO-8PSYNTH-RXN		KDO-8P	1	c
KDO-8PSYNTH-RXN_CPD-18118__1_c	KDO-8PSYNTH-RXN	CPD-18118		1	c
DGTPTRIPHYDRO-RXN_WATER__1_c	DGTPTRIPHYDRO-RXN	WATER		1	c
DGTPTRIPHYDRO-RXN__DEOXYGUANOSINE_1_c	DGTPTRIPHYDRO-RXN		DEOXYGUANOSINE	1	c
DGTPTRIPHYDRO-RXN__P3I_1_c	DGTPTRIPHYDRO-RXN		P3I	1	c
DGTPTRIPHYDRO-RXN_DGTP__1_c	DGTPTRIPHYDRO-RXN	DGTP		1	c
DGTPTRIPHYDRO-RXN__PROTON_1_c	DGTPTRIPHYDRO-RXN		PROTON	1	c
SPERMIDINESYN-RXN_S-ADENOSYLMETHIONINAMINE__1_c	SPERMIDINESYN-RXN	S-ADENOSYLMETHIONINAMINE		1	c
SPERMIDINESYN-RXN__PROTON_1_c	SPERMIDINESYN-RXN		PROTON	1	c
SPERMIDINESYN-RXN__5-METHYLTHIOADENOSINE_1_c	SPERMIDINESYN-RXN		5-METHYLTHIOADENOSINE	1	c
SPERMIDINESYN-RXN_PUTRESCINE__1_c	SPERMIDINESYN-RXN	PUTRESCINE		1	c
SPERMIDINESYN-RXN__SPERMIDINE_1_c	SPERMIDINESYN-RXN		SPERMIDINE	1	c
RXN-17609__CPD-19042_1_c	RXN-17609		CPD-19042	1	c
RXN-17609_2-HYDROXY-2-METHYLPROPANENITRILE__1_c	RXN-17609	2-HYDROXY-2-METHYLPROPANENITRILE		1	c
RXN-17609_WATER__1_c	RXN-17609	WATER		1	c
RXN1F-66_CHLOROPHYLLIDE-A__1_c	RXN1F-66	CHLOROPHYLLIDE-A		1	c
RXN1F-66_PROTON__1_c	RXN1F-66	PROTON		1	c
RXN1F-66__CHLOROPHYLL-A_1_c	RXN1F-66		CHLOROPHYLL-A	1	c
RXN1F-66_PHYTYL-PYROPHOSPHATE__1_c	RXN1F-66	PHYTYL-PYROPHOSPHATE		1	c
RXN1F-66__PPI_1_c	RXN1F-66		PPI	1	c
PECTINESTERASE-RXN__METOH_1_c	PECTINESTERASE-RXN		METOH	1	c
PECTINESTERASE-RXN_WATER__1_c	PECTINESTERASE-RXN	WATER		1	c
PECTINESTERASE-RXN_Pectin__1_c	PECTINESTERASE-RXN	Pectin		1	c
PECTINESTERASE-RXN__PECTATE_1_c	PECTINESTERASE-RXN		PECTATE	1	c
RXN66-362__ANDROST4ENE_1_c	RXN66-362		ANDROST4ENE	1	c
RXN66-362_CPD66-29__1_c	RXN66-362	CPD66-29		1	c
3.6.3.6-RXN_WATER__1_c	3.6.3.6-RXN	WATER		1	c
3.6.3.6-RXN_PROTON__1_c	3.6.3.6-RXN	PROTON		1	c
3.6.3.6-RXN__ADP_1_c	3.6.3.6-RXN		ADP	1	c
3.6.3.6-RXN_ATP__1_c	3.6.3.6-RXN	ATP		1	c
3.6.3.6-RXN__PROTON_2_e	3.6.3.6-RXN		PROTON	2	e
3.6.3.6-RXN__Pi_1_c	3.6.3.6-RXN		Pi	1	c
RXN-9804_OLEATE-CPD__1_c	RXN-9804	OLEATE-CPD		1	c
RXN-9804__CPD-10514_1_c	RXN-9804		CPD-10514	1	c
RXN-9804_A-LIPID-HYDROPEROXIDE__1_c	RXN-9804	A-LIPID-HYDROPEROXIDE		1	c
RXN-9804__Lipid-hydroxy-fatty-acids_1_c	RXN-9804		Lipid-hydroxy-fatty-acids	1	c
ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN_Aryl-Alcohol__1_c	ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN	Aryl-Alcohol		1	c
ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN_NADP__1_c	ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN	NADP		1	c
ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN__Aryl-Aldehyde_1_c	ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN		Aryl-Aldehyde	1	c
ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN__NADPH_1_c	ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN		NADPH	1	c
ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN__PROTON_1_c	ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN		PROTON	1	c
RXN-12059__CPD-3710_1_c	RXN-12059		CPD-3710	1	c
RXN-12059_WATER__1_c	RXN-12059	WATER		1	c
RXN-12059__PROTON_1_c	RXN-12059		PROTON	1	c
RXN-12059_CPD-3713__1_c	RXN-12059	CPD-3713		1	c
RXN-16118__CO-A_1_c	RXN-16118		CO-A	1	c
RXN-16118_CPD-17371__1_c	RXN-16118	CPD-17371		1	c
RXN-16118_CPD-17372__1_c	RXN-16118	CPD-17372		1	c
RXN-16118__CPD-17373_1_c	RXN-16118		CPD-17373	1	c
RXN-11486__SOLANESYL-PYROPHOSPHATE_1_c	RXN-11486		SOLANESYL-PYROPHOSPHATE	1	c
RXN-11486__PPI_5_c	RXN-11486		PPI	5	c
RXN-11486_GERANYLGERANYL-PP__1_c	RXN-11486	GERANYLGERANYL-PP		1	c
RXN-11486_DELTA3-ISOPENTENYL-PP__5_c	RXN-11486	DELTA3-ISOPENTENYL-PP		5	c
RXN66-469__AMP_1_c	RXN66-469		AMP	1	c
RXN66-469__PPI_1_c	RXN66-469		PPI	1	c
RXN66-469_ATP__1_c	RXN66-469	ATP		1	c
RXN66-469_3-Methyl-Saturated-Fatty-Acids__1_c	RXN66-469	3-Methyl-Saturated-Fatty-Acids		1	c
RXN66-469__3-Methyl-Saturated-Fatty-Acyl-CoA_1_c	RXN66-469		3-Methyl-Saturated-Fatty-Acyl-CoA	1	c
RXN66-469_CO-A__1_c	RXN66-469	CO-A		1	c
RXN-16975_ERGOSTEROL__1_c	RXN-16975	ERGOSTEROL		1	c
RXN-16975_CPD-12575__1_c	RXN-16975	CPD-12575		1	c
RXN-16975__UDP_1_c	RXN-16975		UDP	1	c
RXN-16975__PROTON_1_c	RXN-16975		PROTON	1	c
RXN-16975__CPD-11602_1_c	RXN-16975		CPD-11602	1	c
RXN-7970__2K-ADIPATE_1_c	RXN-7970		2K-ADIPATE	1	c
RXN-7970_NAD__1_c	RXN-7970	NAD		1	c
RXN-7970__NADH_1_c	RXN-7970		NADH	1	c
RXN-7970_HOMO-I-CIT__1_c	RXN-7970	HOMO-I-CIT		1	c
RXN-7970__CARBON-DIOXIDE_1_c	RXN-7970		CARBON-DIOXIDE	1	c
PYRIMSYN3-RXN__ADP_1_c	PYRIMSYN3-RXN		ADP	1	c
PYRIMSYN3-RXN_AMINO-HYDROXYMETHYL-METHYL-PYR-P__1_c	PYRIMSYN3-RXN	AMINO-HYDROXYMETHYL-METHYL-PYR-P		1	c
PYRIMSYN3-RXN__AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP_1_c	PYRIMSYN3-RXN		AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP	1	c
PYRIMSYN3-RXN_ATP__1_c	PYRIMSYN3-RXN	ATP		1	c
RXN-12565__CO-A_1_c	RXN-12565		CO-A	1	c
RXN-12565_ACETYL-COA__1_c	RXN-12565	ACETYL-COA		1	c
RXN-12565_BUTYRYL-COA__1_c	RXN-12565	BUTYRYL-COA		1	c
RXN-12565__K-HEXANOYL-COA_1_c	RXN-12565		K-HEXANOYL-COA	1	c
2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN_CPD-409__1_c	2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	CPD-409		1	c
2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN__CO-A_1_c	2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN		CO-A	1	c
2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN_ACYL-COA__1_c	2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	ACYL-COA		1	c
2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN__1-2-Diglycerides_1_c	2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN		1-2-Diglycerides	1	c
RXN66-168__CPD-2747_1_c	RXN66-168		CPD-2747	1	c
RXN66-168__UDP_1_c	RXN66-168		UDP	1	c
RXN66-168_CPD-2742__1_c	RXN66-168	CPD-2742		1	c
RXN66-168_UDP-GLUCURONATE__1_c	RXN66-168	UDP-GLUCURONATE		1	c
3.1.4.36-RXN_CPD-1121__1_c	3.1.4.36-RXN	CPD-1121		1	c
3.1.4.36-RXN__PROTON_1_c	3.1.4.36-RXN		PROTON	1	c
3.1.4.36-RXN_WATER__1_c	3.1.4.36-RXN	WATER		1	c
3.1.4.36-RXN__D-MYO-INOSITOL-1-MONOPHOSPHATE_1_c	3.1.4.36-RXN		D-MYO-INOSITOL-1-MONOPHOSPHATE	1	c
3.4.22.33-RXN_WATER__1_c	3.4.22.33-RXN	WATER		1	c
3.4.22.33-RXN_General-Protein-Substrates__1_c	3.4.22.33-RXN	General-Protein-Substrates		1	c
3.4.22.33-RXN__Peptides-holder_1_c	3.4.22.33-RXN		Peptides-holder	1	c
RXN0-6998__23S-rRNA-N6-methyladenine-2030_1_c	RXN0-6998		23S-rRNA-N6-methyladenine-2030	1	c
RXN0-6998_S-ADENOSYLMETHIONINE__1_c	RXN0-6998	S-ADENOSYLMETHIONINE		1	c
RXN0-6998__PROTON_1_c	RXN0-6998		PROTON	1	c
RXN0-6998_23S-rRNA-adenine-2030__1_c	RXN0-6998	23S-rRNA-adenine-2030		1	c
RXN0-6998__ADENOSYL-HOMO-CYS_1_c	RXN0-6998		ADENOSYL-HOMO-CYS	1	c
ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN_WATER__1_c	ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN	WATER		1	c
ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN__PROTON_2_c	ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN		PROTON	2	c
ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN_NAD-P-OR-NOP__1_c	ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN	NAD-P-OR-NOP		1	c
ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN__NADH-P-OR-NOP_1_c	ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN		NADH-P-OR-NOP	1	c
ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN_Aldehydes__1_c	ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN	Aldehydes		1	c
ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN__Carboxylates_1_c	ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN		Carboxylates	1	c
RXN-4161_CPD-4081__1_c	RXN-4161	CPD-4081		1	c
RXN-4161__CPD-4101_1_c	RXN-4161		CPD-4101	1	c
LEUCPEL-RXN_LEUCOPELARGONIDIN-CMPD__1_c	LEUCPEL-RXN	LEUCOPELARGONIDIN-CMPD		1	c
LEUCPEL-RXN__PELARGONIDIN-CMPD_1_c	LEUCPEL-RXN		PELARGONIDIN-CMPD	1	c
LEUCPEL-RXN_OXYGEN-MOLECULE__1_c	LEUCPEL-RXN	OXYGEN-MOLECULE		1	c
LEUCPEL-RXN__WATER_2_c	LEUCPEL-RXN		WATER	2	c
LEUCPEL-RXN__SUC_1_c	LEUCPEL-RXN		SUC	1	c
LEUCPEL-RXN__PROTON_1_c	LEUCPEL-RXN		PROTON	1	c
LEUCPEL-RXN__CARBON-DIOXIDE_1_c	LEUCPEL-RXN		CARBON-DIOXIDE	1	c
LEUCPEL-RXN_2-KETOGLUTARATE__1_c	LEUCPEL-RXN	2-KETOGLUTARATE		1	c
RXN66-163__WATER_1_c	RXN66-163		WATER	1	c
RXN66-163_OXYGEN-MOLECULE__1_c	RXN66-163	OXYGEN-MOLECULE		1	c
RXN66-163__Ox-NADPH-Hemoprotein-Reductases_1_c	RXN66-163		Ox-NADPH-Hemoprotein-Reductases	1	c
RXN66-163__CPD-2751_1_c	RXN66-163		CPD-2751	1	c
RXN66-163_Red-NADPH-Hemoprotein-Reductases__1_c	RXN66-163	Red-NADPH-Hemoprotein-Reductases		1	c
RXN66-163_CPD-2742__1_c	RXN66-163	CPD-2742		1	c
TEICHOICSYN5-RXN__Teichoic-P-Gro-Glc_1_c	TEICHOICSYN5-RXN		Teichoic-P-Gro-Glc	1	c
TEICHOICSYN5-RXN_CPD-12575__1_c	TEICHOICSYN5-RXN	CPD-12575		1	c
TEICHOICSYN5-RXN__UDP_1_c	TEICHOICSYN5-RXN		UDP	1	c
TEICHOICSYN5-RXN_Teichoic-P-Gro__1_c	TEICHOICSYN5-RXN	Teichoic-P-Gro		1	c
TEICHOICSYN5-RXN__PROTON_1_c	TEICHOICSYN5-RXN		PROTON	1	c
4.99.1.3-RXN__COBALT-SIROHYDROCHLORIN_1_c	4.99.1.3-RXN		COBALT-SIROHYDROCHLORIN	1	c
4.99.1.3-RXN_SIROHYDROCHLORIN__1_c	4.99.1.3-RXN	SIROHYDROCHLORIN		1	c
4.99.1.3-RXN_CO+2__1_c	4.99.1.3-RXN	CO+2		1	c
4.99.1.3-RXN__PROTON_2_c	4.99.1.3-RXN		PROTON	2	c
RXN-13685_PROTON__1_c	RXN-13685	PROTON		1	c
RXN-13685_NADP__1_c	RXN-13685	NADP		1	c
RXN-13685_Reduced-adrenal-ferredoxins__2_c	RXN-13685	Reduced-adrenal-ferredoxins		2	c
RXN-13685__Oxidized-adrenal-ferredoxins_2_c	RXN-13685		Oxidized-adrenal-ferredoxins	2	c
RXN-13685__NADPH_1_c	RXN-13685		NADPH	1	c
RXN-13961_NADPH__3_c	RXN-13961	NADPH		3	c
RXN-13961_14-alpha-methylsteroids__1_c	RXN-13961	14-alpha-methylsteroids		1	c
RXN-13961_PROTON__2_c	RXN-13961	PROTON		2	c
RXN-13961__WATER_4_c	RXN-13961		WATER	4	c
RXN-13961__NADP_3_c	RXN-13961		NADP	3	c
RXN-13961_OXYGEN-MOLECULE__3_c	RXN-13961	OXYGEN-MOLECULE		3	c
RXN-13961__FORMATE_1_c	RXN-13961		FORMATE	1	c
RXN-13961__Delta-14-steroids_1_c	RXN-13961		Delta-14-steroids	1	c
RXN0-6479_CPD0-2351__1_c	RXN0-6479	CPD0-2351		1	c
RXN0-6479_WATER__1_c	RXN0-6479	WATER		1	c
RXN0-6479__CPD0-2352_1_c	RXN0-6479		CPD0-2352	1	c
RXN0-6479__Nucleoside-Monophosphates_1_c	RXN0-6479		Nucleoside-Monophosphates	1	c
RXN-7644_NAD__1_c	RXN-7644	NAD		1	c
RXN-7644__NADH_1_c	RXN-7644		NADH	1	c
RXN-7644__CPD-15382_1_c	RXN-7644		CPD-15382	1	c
RXN-7644__PROTON_1_c	RXN-7644		PROTON	1	c
RXN-7644_SORBITOL__1_c	RXN-7644	SORBITOL		1	c
2.7.11.20-RXN_Elongation-factor-2__1_c	2.7.11.20-RXN	Elongation-factor-2		1	c
2.7.11.20-RXN__ADP_1_c	2.7.11.20-RXN		ADP	1	c
2.7.11.20-RXN_ATP__1_c	2.7.11.20-RXN	ATP		1	c
2.7.11.20-RXN__Elongation-factor-2-P_1_c	2.7.11.20-RXN		Elongation-factor-2-P	1	c
NICONUCADENYLYLTRAN-RXN__DEAMIDO-NAD_1_c	NICONUCADENYLYLTRAN-RXN		DEAMIDO-NAD	1	c
NICONUCADENYLYLTRAN-RXN_PROTON__1_c	NICONUCADENYLYLTRAN-RXN	PROTON		1	c
NICONUCADENYLYLTRAN-RXN_ATP__1_c	NICONUCADENYLYLTRAN-RXN	ATP		1	c
NICONUCADENYLYLTRAN-RXN_NICOTINATE_NUCLEOTIDE__1_c	NICONUCADENYLYLTRAN-RXN	NICOTINATE_NUCLEOTIDE		1	c
NICONUCADENYLYLTRAN-RXN__PPI_1_c	NICONUCADENYLYLTRAN-RXN		PPI	1	c
RXN-11625__CPD-12587_1_c	RXN-11625		CPD-12587	1	c
RXN-11625__PROTON_1_c	RXN-11625		PROTON	1	c
RXN-11625_2-TRANS6-TRANS-FARNESOL__1_c	RXN-11625	2-TRANS6-TRANS-FARNESOL		1	c
