xref	METACYC	UM-BBD-CPD	METABOLIGHTS	UNIPROT	NCI	LIGAND-MAP	DRUGBANK	SGD-PATHWAY	HMDB	ARACYC	ECOCYC	UM-BBD-PWY	CAS	PLANTCYC	KNAPSACK	BIGG	LIGAND-RXN	CHEMSPIDER	Wikipedia	PLASMOCYC	RHEA	LIGAND-CPD	REACTOME	PIR	CHEBI	PUBCHEM	HUMANCYC	KEGG-GLYCAN	LIPID_MAPS
NEUROSPORENE_xrefs									HMDB03114									4444347				C05431			16833	5280789			LMPR01070086
CPD-320_xrefs													79-24-3									C18091			55327	5748355			
GLYCOL-GLYOXDEG-PWY_xrefs											GLYCOL-GLYOXDEG-PWY																		
RXN0-6565_xrefs																	R01414				28791								
FPPSYN-RXN_xrefs				P08524													R02003				19361								
FPPSYN-RXN_xrefs				P05369																									
FPPSYN-RXN_xrefs				P14324																									
FPPSYN-RXN_xrefs				Q9CH81																									
FPPSYN-RXN_xrefs				Q9PM32																									
FPPSYN-RXN_xrefs				P45204																									
FPPSYN-RXN_xrefs				Q9JSM0																									
FPPSYN-RXN_xrefs				P49350																									
FPPSYN-RXN_xrefs				P22939																									
FPPSYN-RXN_xrefs				Q08291																									
FPPSYN-RXN_xrefs				P49349																									
FPPSYN-RXN_xrefs				Q09152																									
FPPSYN-RXN_xrefs				P49351																									
FPPSYN-RXN_xrefs				P49352																									
FPPSYN-RXN_xrefs				Q43315																									
FPPSYN-RXN_xrefs				O24241																									
FPPSYN-RXN_xrefs				O24242																									
FPPSYN-RXN_xrefs				Q92334																									
FPPSYN-RXN_xrefs				Q92218																									
FPPSYN-RXN_xrefs				Q92235																									
FPPSYN-RXN_xrefs				Q92250																									
FPPSYN-RXN_xrefs				Q8L7F4																									
FPPSYN-RXN_xrefs				P49353																									
FPPSYN-RXN_xrefs				O04882																									
FPPSYN-RXN_xrefs				O65004																									
FPPSYN-RXN_xrefs				O14230																									
3.1.26.3-RXN_xrefs				Q9PM40																									
3.1.26.3-RXN_xrefs				P51833																									
3.1.26.3-RXN_xrefs				Q9CHD0																									
3.1.26.3-RXN_xrefs				Q9JVD3																									
3.1.26.3-RXN_xrefs				P44441																									
3.1.26.3-RXN_xrefs				P0A7Y0																									
3.1.26.3-RXN_xrefs				P09155																									
3.1.26.3-RXN_xrefs				Q52698																									
3.1.26.3-RXN_xrefs				Q49034																									
3.1.26.3-RXN_xrefs				O69469																									
RXN-13067_xrefs																					33907								
PNPOXI-RXN_xrefs																	R00278				15149								
SULFO-CYSTEINE_xrefs									HMDB00731													C05824			62225	25203408			
RXN3DJ-25_xrefs																	R06521				27518								
SIROHYDROCHLORIN_xrefs													65207-12-7			scl						C05778			58351	25245154			
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN_xrefs				P12769													R00034												
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN_xrefs				Q9JSP8																									
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN_xrefs				Q9HQ46																									
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN_xrefs				P12768																									
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN_xrefs				P27526																									
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN_xrefs				P25078																									
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN_xrefs				Q43125																									
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN_xrefs				P40115																									
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN_xrefs				Q28811																									
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN_xrefs				Q24443																									
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN_xrefs				Q91186																									
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN_xrefs				Q42696																									
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN_xrefs				P05066																									
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN_xrefs				O24020																									
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN_xrefs				O24374																									
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN_xrefs				P00914																									
F16BDEPHOS-RXN_xrefs				P09199													R00762				11064								
F16BDEPHOS-RXN_xrefs				P19112																									
F16BDEPHOS-RXN_xrefs				P22780																									
F16BDEPHOS-RXN_xrefs				P09467																									
F16BDEPHOS-RXN_xrefs				Q9JUL6																									
F16BDEPHOS-RXN_xrefs				Q9CIU9																									
F16BDEPHOS-RXN_xrefs				P09202																									
F16BDEPHOS-RXN_xrefs				Q45597																									
F16BDEPHOS-RXN_xrefs				P45292																									
F16BDEPHOS-RXN_xrefs				Q9PP83																									
F16BDEPHOS-RXN_xrefs				P19912																									
F16BDEPHOS-RXN_xrefs				P19911																									
F16BDEPHOS-RXN_xrefs				Q9HGZ4																									
F16BDEPHOS-RXN_xrefs				P09201																									
F16BDEPHOS-RXN_xrefs				P0A993																									
F16BDEPHOS-RXN_xrefs				P00636																									
F16BDEPHOS-RXN_xrefs				P23014																									
F16BDEPHOS-RXN_xrefs				P27994																									
F16BDEPHOS-RXN_xrefs				P14766																									
F16BDEPHOS-RXN_xrefs				P09195																									
F16BDEPHOS-RXN_xrefs				Q7M0S7																									
F16BDEPHOS-RXN_xrefs				P25851																									
F16BDEPHOS-RXN_xrefs				Q05079																									
F16BDEPHOS-RXN_xrefs				P46275																									
F16BDEPHOS-RXN_xrefs				P46276																									
F16BDEPHOS-RXN_xrefs				Q43139																									
F16BDEPHOS-RXN_xrefs				P00637																									
F16BDEPHOS-RXN_xrefs				O65827																									
F16BDEPHOS-RXN_xrefs				Q42796																									
F16BDEPHOS-RXN_xrefs				P46267																									
F16BDEPHOS-RXN_xrefs				Q07204																									
F16BDEPHOS-RXN_xrefs				P22418																									
UGD-RXN_xrefs				Q8NKX0													R00286				23596								
UGD-RXN_xrefs				Q9PML6																									
UGD-RXN_xrefs				Q58454																									
UGD-RXN_xrefs				Q47329																									
UGD-RXN_xrefs				Q96558																									
UGD-RXN_xrefs				O41091																									
UGD-RXN_xrefs				Q9RMC2																									
UGD-RXN_xrefs				O54068																									
2.3.1.158-RXN_xrefs																	R05333												
AMINOHYDROQUINONE_xrefs																		2285225				C14604			13769	3017497			
RXN1F-162_xrefs																	R06322												
2-TRANS6-TRANS-FARNESAL_xrefs									HMDB60356									4444210				C03461			15894	5280598			
RXN-6883_xrefs																	R09504				30258								
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P89462													R04294				23252								
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				Q7M0K8																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				Q91YM8																									
RIBONUCLEOSIDE-DIP-REDUCTI-RXN_xrefs				P09938																									
