xref	METACYC	UM-BBD-CPD	METABOLIGHTS	UNIPROT	NCI	LIGAND-MAP	DRUGBANK	SGD-PATHWAY	HMDB	ARACYC	ECOCYC	UM-BBD-PWY	CAS	PLANTCYC	KNAPSACK	BIGG	LIGAND-RXN	CHEMSPIDER	Wikipedia	PLASMOCYC	RHEA	LIGAND-CPD	REACTOME	PIR	CHEBI	PUBCHEM	HUMANCYC	KEGG-GLYCAN	LIPID_MAPS
GLURS-RXN_xrefs				P22249																									
GLURS-RXN_xrefs				P22250																									
GLURS-RXN_xrefs				P04805																									
GLURS-RXN_xrefs				P07814																									
GLURS-RXN_xrefs				P15189																									
GLURS-RXN_xrefs				O65253																									
GLURS-RXN_xrefs				O68055																									
GLURS-RXN_xrefs				O68142																									
GLURS-RXN_xrefs				O86528																									
GLURS-RXN_xrefs				O13775																									
GLURS-RXN_xrefs				Q9ZFA3																									
GLURS-RXN_xrefs				O82462																									
HOMOCYSMETB12-RXN_xrefs				Q57195													R00946				11172								
HOMOCYSMETB12-RXN_xrefs				Q9RVQ6																									
HOMOCYSMETB12-RXN_xrefs				O33259																									
HOMOCYSMETB12-RXN_xrefs				Q55786																									
HOMOCYSMETB12-RXN_xrefs				Q09582																									
HOMOCYSMETB12-RXN_xrefs				Q9Z2Q4																									
HOMOCYSMETB12-RXN_xrefs				P13009																									
RXN-8999_xrefs				O82827													R06447				27551								
RXN-8999_xrefs				O43091													R07269												
RXN-8999_xrefs				Q9JX35																									
RXN-8999_xrefs				O67291																									
RXN-8999_xrefs				Q9X1B8																									
RXN-8999_xrefs				O34559																									
CPD-6948_xrefs																		5140683				C08616			10352	73145			
DEHYDROQUINATE_xrefs									HMDB12710				10534-44-8			3dhq		4573866				C00944			32364	5460271			
PAPS_xrefs			MTBLC58339						HMDB01134				482-67-7		C00007446	paps						C00053			58339	46926099			
CPD-15063_xrefs																									61284	29927686			
CPD-7836_xrefs			MTBLC30807						HMDB00806				544-63-8			ttdca		3290116				C06424			30807	4075158			
PWY-6012_xrefs											PWY-6012																		
ARGININE--TRNA-LIGASE-RXN_xrefs				P40329													R03646				20301								
ARGININE--TRNA-LIGASE-RXN_xrefs				P35868																									
ARGININE--TRNA-LIGASE-RXN_xrefs				P43832																									
ARGININE--TRNA-LIGASE-RXN_xrefs				O51540																									
ARGININE--TRNA-LIGASE-RXN_xrefs				O67068																									
ARGININE--TRNA-LIGASE-RXN_xrefs				O59147																									
ARGININE--TRNA-LIGASE-RXN_xrefs				O83803																									
ARGININE--TRNA-LIGASE-RXN_xrefs				Q9ZE81																									
ARGININE--TRNA-LIGASE-RXN_xrefs				Q9PNC0																									
ARGININE--TRNA-LIGASE-RXN_xrefs				Q9X0H8																									
ARGININE--TRNA-LIGASE-RXN_xrefs				P46906																									
ARGININE--TRNA-LIGASE-RXN_xrefs				Q57689																									
ARGININE--TRNA-LIGASE-RXN_xrefs				O27496																									
ARGININE--TRNA-LIGASE-RXN_xrefs				Q9JTM7																									
ARGININE--TRNA-LIGASE-RXN_xrefs				Q9CE12																									
ARGININE--TRNA-LIGASE-RXN_xrefs				P56128																									
ARGININE--TRNA-LIGASE-RXN_xrefs				P47618																									
ARGININE--TRNA-LIGASE-RXN_xrefs				Q9ZMB9																									
ARGININE--TRNA-LIGASE-RXN_xrefs				Q08888																									
ARGININE--TRNA-LIGASE-RXN_xrefs				P54136																									
ARGININE--TRNA-LIGASE-RXN_xrefs				P38714																									
ARGININE--TRNA-LIGASE-RXN_xrefs				Q05506																									
ARGININE--TRNA-LIGASE-RXN_xrefs				P75222																									
ARGININE--TRNA-LIGASE-RXN_xrefs				P11875																									
ARGININE--TRNA-LIGASE-RXN_xrefs				O23247																									
ARGININE--TRNA-LIGASE-RXN_xrefs				O74781																									
CPD-292_xrefs									HMDB60482									4444172				C06123			17585	5280541			LMFA06000089
PANTETHEINE-P_xrefs			MTBLC61723						HMDB01416							pan4p						C01134			61723	25245905			
UDP-OHMYR-ACETYLGLUCOSAMINE_xrefs																u3aga						C04738			61494	25244942			
ACETOLACTREDUCTOISOM-RXN_xrefs				P06168													R04439				22068								
ACETOLACTREDUCTOISOM-RXN_xrefs				P44822																									
ACETOLACTREDUCTOISOM-RXN_xrefs				O25097																									
ACETOLACTREDUCTOISOM-RXN_xrefs				Q02138																									
ACETOLACTREDUCTOISOM-RXN_xrefs				Q57179																									
ACETOLACTREDUCTOISOM-RXN_xrefs				Q9JTI3																									
ACETOLACTREDUCTOISOM-RXN_xrefs				Q9PHN5																									
ACETOLACTREDUCTOISOM-RXN_xrefs				P05793																									
ACETOLACTREDUCTOISOM-RXN_xrefs				P38674																									
ACETOLACTREDUCTOISOM-RXN_xrefs				Q59500																									
ACETOLACTREDUCTOISOM-RXN_xrefs				Q01292																									
ACETOLACTREDUCTOISOM-RXN_xrefs				Q05758																									
ACETOLACTREDUCTOISOM-RXN_xrefs				O82043																									
ACETOLACTREDUCTOISOM-RXN_xrefs				P78827																									
CPD-14417_xrefs																										90657653			
ZN+2_xrefs			MTBLC29105						HMDB01303				7440-66-6			zn2		29723				C00038			29105	32051			
2-CHLOROETHANOL_xrefs					122289								107-07-3					21106015				C06753			28200	34			
PWY-6609_xrefs											PWY-6609																		
CPD-366_xrefs																		4573954				C11536			15597	5460422			
CPD-13375_xrefs																										52940180			
PRIBFAICARPISOM-RXN_xrefs				Q02131													R04640				15469								
PRIBFAICARPISOM-RXN_xrefs				Q9JVH4																									
PRIBFAICARPISOM-RXN_xrefs				Q9PM74																									
PRIBFAICARPISOM-RXN_xrefs				P44435																									
PRIBFAICARPISOM-RXN_xrefs				P10372																									
PRIBFAICARPISOM-RXN_xrefs				P10371																									
PRIBFAICARPISOM-RXN_xrefs				P16250																									
PRIBFAICARPISOM-RXN_xrefs				P05324																									
PRIBFAICARPISOM-RXN_xrefs				P26720																									
PRIBFAICARPISOM-RXN_xrefs				P50936																									
PRIBFAICARPISOM-RXN_xrefs				P74561																									
PRIBFAICARPISOM-RXN_xrefs				O82782																									
SUPEROX-DISMUT-RXN_xrefs				P11419													R00275				20696								
SUPEROX-DISMUT-RXN_xrefs				P09670																									
SUPEROX-DISMUT-RXN_xrefs				P09213																									
SUPEROX-DISMUT-RXN_xrefs				P11428																									
SUPEROX-DISMUT-RXN_xrefs				P15453																									
SUPEROX-DISMUT-RXN_xrefs				P09737																									
SUPEROX-DISMUT-RXN_xrefs				P20379																									
SUPEROX-DISMUT-RXN_xrefs				P07509																									
SUPEROX-DISMUT-RXN_xrefs				P16026																									
SUPEROX-DISMUT-RXN_xrefs				P19666																									
SUPEROX-DISMUT-RXN_xrefs				P25841																									
SUPEROX-DISMUT-RXN_xrefs				P09738																									
SUPEROX-DISMUT-RXN_xrefs				P19665																									
SUPEROX-DISMUT-RXN_xrefs				P19685																									
SUPEROX-DISMUT-RXN_xrefs				P28755																									
SUPEROX-DISMUT-RXN_xrefs				P34107																									
SUPEROX-DISMUT-RXN_xrefs				P34697																									
SUPEROX-DISMUT-RXN_xrefs				P41979																									
SUPEROX-DISMUT-RXN_xrefs				Q08420																									
SUPEROX-DISMUT-RXN_xrefs				Q01137																									
SUPEROX-DISMUT-RXN_xrefs				P53652																									
SUPEROX-DISMUT-RXN_xrefs				Q7M4I8																									
SUPEROX-DISMUT-RXN_xrefs				P25842																									
SUPEROX-DISMUT-RXN_xrefs				P41980																									
SUPEROX-DISMUT-RXN_xrefs				P53641																									
SUPEROX-DISMUT-RXN_xrefs				P54375																									
SUPEROX-DISMUT-RXN_xrefs				O67149																									
SUPEROX-DISMUT-RXN_xrefs				Q9Z9C4																									
SUPEROX-DISMUT-RXN_xrefs				Q9RU48																									
SUPEROX-DISMUT-RXN_xrefs				Q9RUV2																									
SUPEROX-DISMUT-RXN_xrefs				P41978																									
SUPEROX-DISMUT-RXN_xrefs				P43725																									
SUPEROX-DISMUT-RXN_xrefs				O35023																									
SUPEROX-DISMUT-RXN_xrefs				O67470																									
SUPEROX-DISMUT-RXN_xrefs				Q9JUW9																									
SUPEROX-DISMUT-RXN_xrefs				P00442																									
SUPEROX-DISMUT-RXN_xrefs				P00449																									
SUPEROX-DISMUT-RXN_xrefs				P00445																									
SUPEROX-DISMUT-RXN_xrefs				P00447																									
SUPEROX-DISMUT-RXN_xrefs				P0AGD3																									
SUPEROX-DISMUT-RXN_xrefs				P00448																									
SUPEROX-DISMUT-RXN_xrefs				P61851																									
SUPEROX-DISMUT-RXN_xrefs				P00446																									
SUPEROX-DISMUT-RXN_xrefs				P00443																									
SUPEROX-DISMUT-RXN_xrefs				P09224																									
SUPEROX-DISMUT-RXN_xrefs				P00441																									
SUPEROX-DISMUT-RXN_xrefs				P08294																									
SUPEROX-DISMUT-RXN_xrefs				P04179																									
SUPEROX-DISMUT-RXN_xrefs				P24704																									
SUPEROX-DISMUT-RXN_xrefs				P24705																									
SUPEROX-DISMUT-RXN_xrefs				P04178																									
SUPEROX-DISMUT-RXN_xrefs				P11964																									
SUPEROX-DISMUT-RXN_xrefs				P27084																									
SUPEROX-DISMUT-RXN_xrefs				P09678																									
SUPEROX-DISMUT-RXN_xrefs				P07895																									
SUPEROX-DISMUT-RXN_xrefs				P22233																									
SUPEROX-DISMUT-RXN_xrefs				P07505																									
SUPEROX-DISMUT-RXN_xrefs				P03946																									
SUPEROX-DISMUT-RXN_xrefs				Q7M137																									
SUPEROX-DISMUT-RXN_xrefs				P43312																									
SUPEROX-DISMUT-RXN_xrefs				Q9ZKE6																									
SUPEROX-DISMUT-RXN_xrefs				P57005																									
SUPEROX-DISMUT-RXN_xrefs				P18868																									
SUPEROX-DISMUT-RXN_xrefs				O66602																									
SUPEROX-DISMUT-RXN_xrefs				Q9ZD15																									
SUPEROX-DISMUT-RXN_xrefs				Q9Y8H8																									
SUPEROX-DISMUT-RXN_xrefs				Q59623																									
SUPEROX-DISMUT-RXN_xrefs				Q9JZV6																									
SUPEROX-DISMUT-RXN_xrefs				O84296																									
SUPEROX-DISMUT-RXN_xrefs				P53640																									
SUPEROX-DISMUT-RXN_xrefs				P11796																									
SUPEROX-DISMUT-RXN_xrefs				Q59081																									
SUPEROX-DISMUT-RXN_xrefs				P24702																									
SUPEROX-DISMUT-RXN_xrefs				Q59165																									
SUPEROX-DISMUT-RXN_xrefs				P37369																									
SUPEROX-DISMUT-RXN_xrefs				P42821																									
SUPEROX-DISMUT-RXN_xrefs				Q59307																									
SUPEROX-DISMUT-RXN_xrefs				Q59315																									
SUPEROX-DISMUT-RXN_xrefs				P41976																									
SUPEROX-DISMUT-RXN_xrefs				P09671																									
SUPEROX-DISMUT-RXN_xrefs				P07632																									
SUPEROX-DISMUT-RXN_xrefs				P28764																									
SUPEROX-DISMUT-RXN_xrefs				P80293																									
SUPEROX-DISMUT-RXN_xrefs				Q42683																									
SUPEROX-DISMUT-RXN_xrefs				P31161																									
SUPEROX-DISMUT-RXN_xrefs				Q59452																									
SUPEROX-DISMUT-RXN_xrefs				P0AGD1																									
SUPEROX-DISMUT-RXN_xrefs				Q59094																									
SUPEROX-DISMUT-RXN_xrefs				O30826																									
SUPEROX-DISMUT-RXN_xrefs				P34461																									
SUPEROX-DISMUT-RXN_xrefs				Q27538																									
SUPEROX-DISMUT-RXN_xrefs				Q9ZWM8																									
SUPEROX-DISMUT-RXN_xrefs				P08228																									
SUPEROX-DISMUT-RXN_xrefs				P27082																									
SUPEROX-DISMUT-RXN_xrefs				P31108																									
SUPEROX-DISMUT-RXN_xrefs				Q7M1R5																									
SUPEROX-DISMUT-RXN_xrefs				P28759																									
SUPEROX-DISMUT-RXN_xrefs				Q8LEP0																									
SUPEROX-DISMUT-RXN_xrefs				Q7M4X8																									
SUPEROX-DISMUT-RXN_xrefs				Q7M0X9																									
SUPEROX-DISMUT-RXN_xrefs				P22799																									
SUPEROX-DISMUT-RXN_xrefs				Q7M1U7																									
SUPEROX-DISMUT-RXN_xrefs				Q7M236																									
SUPEROX-DISMUT-RXN_xrefs				Q7M1U6																									
SUPEROX-DISMUT-RXN_xrefs				Q7M1U5																									
SUPEROX-DISMUT-RXN_xrefs				P09223																									
SUPEROX-DISMUT-RXN_xrefs				P10791																									
SUPEROX-DISMUT-RXN_xrefs				P10792																									
SUPEROX-DISMUT-RXN_xrefs				Q43273																									
SUPEROX-DISMUT-RXN_xrefs				P11418																									
SUPEROX-DISMUT-RXN_xrefs				P13926																									
SUPEROX-DISMUT-RXN_xrefs				P61852																									
SUPEROX-DISMUT-RXN_xrefs				P13367																									
SUPEROX-DISMUT-RXN_xrefs				P23345																									
SUPEROX-DISMUT-RXN_xrefs				P14830																									
SUPEROX-DISMUT-RXN_xrefs				P15107																									
SUPEROX-DISMUT-RXN_xrefs				P23417																									
SUPEROX-DISMUT-RXN_xrefs				P17670																									
SUPEROX-DISMUT-RXN_xrefs				P24706																									
SUPEROX-DISMUT-RXN_xrefs				P28763																									
SUPEROX-DISMUT-RXN_xrefs				P24669																									
SUPEROX-DISMUT-RXN_xrefs				P24707																									
SUPEROX-DISMUT-RXN_xrefs				P28757																									
SUPEROX-DISMUT-RXN_xrefs				P28760																									
SUPEROX-DISMUT-RXN_xrefs				P28756																									
SUPEROX-DISMUT-RXN_xrefs				P28766																									
SUPEROX-DISMUT-RXN_xrefs				P28762																									
SUPEROX-DISMUT-RXN_xrefs				Q00637																									
SUPEROX-DISMUT-RXN_xrefs				P28761																									
SUPEROX-DISMUT-RXN_xrefs				P28765																									
SUPEROX-DISMUT-RXN_xrefs				P28767																									
SUPEROX-DISMUT-RXN_xrefs				P28768																									
SUPEROX-DISMUT-RXN_xrefs				P28758																									
SUPEROX-DISMUT-RXN_xrefs				Q7M240																									
SUPEROX-DISMUT-RXN_xrefs				Q7M239																									
SUPEROX-DISMUT-RXN_xrefs				Q7M237																									
SUPEROX-DISMUT-RXN_xrefs				Q7M238																									
SUPEROX-DISMUT-RXN_xrefs				P80174																									
SUPEROX-DISMUT-RXN_xrefs				P09212																									
SUPEROX-DISMUT-RXN_xrefs				Q08713																									
SUPEROX-DISMUT-RXN_xrefs				P33431																									
SUPEROX-DISMUT-RXN_xrefs				P35017																									
SUPEROX-DISMUT-RXN_xrefs				Q07796																									
SUPEROX-DISMUT-RXN_xrefs				P53639																									
SUPEROX-DISMUT-RXN_xrefs				P14831																									
SUPEROX-DISMUT-RXN_xrefs				Q07182																									
SUPEROX-DISMUT-RXN_xrefs				P41981																									
SUPEROX-DISMUT-RXN_xrefs				Q9R4U1																									
SUPEROX-DISMUT-RXN_xrefs				Q60036																									
SUPEROX-DISMUT-RXN_xrefs				P53643																									
SUPEROX-DISMUT-RXN_xrefs				P53644																									
SUPEROX-DISMUT-RXN_xrefs				P53645																									
SUPEROX-DISMUT-RXN_xrefs				P53646																									
SUPEROX-DISMUT-RXN_xrefs				P53649																									
SUPEROX-DISMUT-RXN_xrefs				P53647																									
SUPEROX-DISMUT-RXN_xrefs				P46728																									
SUPEROX-DISMUT-RXN_xrefs				P53650																									
SUPEROX-DISMUT-RXN_xrefs				P53648																									
SUPEROX-DISMUT-RXN_xrefs				P41977																									
SUPEROX-DISMUT-RXN_xrefs				Q64466																									
SUPEROX-DISMUT-RXN_xrefs				Q7M235																									
SUPEROX-DISMUT-RXN_xrefs				Q59433																									
SUPEROX-DISMUT-RXN_xrefs				P0A4J5																									
SUPEROX-DISMUT-RXN_xrefs				Q59806																									
SUPEROX-DISMUT-RXN_xrefs				P0A4J6																									
SUPEROX-DISMUT-RXN_xrefs				Q59434																									
SUPEROX-DISMUT-RXN_xrefs				Q43779																									
SUPEROX-DISMUT-RXN_xrefs				Q27740																									
SUPEROX-DISMUT-RXN_xrefs				Q27460																									
SUPEROX-DISMUT-RXN_xrefs				Q59519																									
SUPEROX-DISMUT-RXN_xrefs				P80566																									
SUPEROX-DISMUT-RXN_xrefs				P93801																									
SUPEROX-DISMUT-RXN_xrefs				P77968																									
SUPEROX-DISMUT-RXN_xrefs				P93407																									
SUPEROX-DISMUT-RXN_xrefs				Q43008																									
SUPEROX-DISMUT-RXN_xrefs				Q43803																									
SUPEROX-DISMUT-RXN_xrefs				Q43121																									
SUPEROX-DISMUT-RXN_xrefs				P21276																									
SUPEROX-DISMUT-RXN_xrefs				Q96123																									
SUPEROX-DISMUT-RXN_xrefs				Q96185																									
SUPEROX-DISMUT-RXN_xrefs				Q02610																									
SUPEROX-DISMUT-RXN_xrefs				O24400																									
SUPEROX-DISMUT-RXN_xrefs				P93606																									
SUPEROX-DISMUT-RXN_xrefs				O22373																									
SUPEROX-DISMUT-RXN_xrefs				O49066																									
SUPEROX-DISMUT-RXN_xrefs				Q42684																									
SUPEROX-DISMUT-RXN_xrefs				O65324																									
SUPEROX-DISMUT-RXN_xrefs				O65768																									
SUPEROX-DISMUT-RXN_xrefs				Q42672																									
SUPEROX-DISMUT-RXN_xrefs				O81233																									
SUPEROX-DISMUT-RXN_xrefs				O23785																									
SUPEROX-DISMUT-RXN_xrefs				Q42862																									
SUPEROX-DISMUT-RXN_xrefs				O49044																									
SUPEROX-DISMUT-RXN_xrefs				Q90023																									
SUPEROX-DISMUT-RXN_xrefs				Q9YMI3																									
SUPEROX-DISMUT-RXN_xrefs				O92400																									
SUPEROX-DISMUT-RXN_xrefs				O51917																									
SUPEROX-DISMUT-RXN_xrefs				P61502																									
SUPEROX-DISMUT-RXN_xrefs				O08459																									
SUPEROX-DISMUT-RXN_xrefs				O08461																									
SUPEROX-DISMUT-RXN_xrefs				P53653																									
SUPEROX-DISMUT-RXN_xrefs				Q9LYK8																									
SUPEROX-DISMUT-RXN_xrefs				Q03302																									
SUPEROX-DISMUT-RXN_xrefs				Q03300																									
SUPEROX-DISMUT-RXN_xrefs				Q03301																									
SUPEROX-DISMUT-RXN_xrefs				Q9UQX0																									
SUPEROX-DISMUT-RXN_xrefs				O81235																									
SUPEROX-DISMUT-RXN_xrefs				Q9SM64																									
SUPEROX-DISMUT-RXN_xrefs				Q9STB5																									
SUPEROX-DISMUT-RXN_xrefs				Q9M532																									
SUPEROX-DISMUT-RXN_xrefs				O82584																									
SUPEROX-DISMUT-RXN_xrefs				O82519																									
SUPEROX-DISMUT-RXN_xrefs				O78310																									
SUPEROX-DISMUT-RXN_xrefs				O81236																									
SUPEROX-DISMUT-RXN_xrefs				O81240																									
NITROUS-OXIDE_xrefs			MTBLC17045						HMDB35807				10024-97-2			n2o		923	Nitrous_oxide			C00887			17045	948			
CPDQT-343_xrefs															C00007399							C17246			50701	90657213			
CPD-13174_xrefs													529507-98-0													14731723			
TREHALOSE-6P_xrefs									HMDB01124				4484-88-2			tre6p						C00689			58429	25246105			
HOMOSERKIN-RXN_xrefs				P27722													R01771				13985								
HOMOSERKIN-RXN_xrefs				Q9PIZ3																									
HOMOSERKIN-RXN_xrefs				P04948																									
HOMOSERKIN-RXN_xrefs				Q9UZV7																									
HOMOSERKIN-RXN_xrefs				Q9CGD7																									
HOMOSERKIN-RXN_xrefs				P44504																									
HOMOSERKIN-RXN_xrefs				P52991																									
HOMOSERKIN-RXN_xrefs				P00547																									
HOMOSERKIN-RXN_xrefs				P07128																									
HOMOSERKIN-RXN_xrefs				P17423																									
HOMOSERKIN-RXN_xrefs				P73646																									
PHOSPHOLIPASE-A1-RXN_xrefs				P53357													R01314				18689								
PHOSPHOLIPASE-A1-RXN_xrefs				P51528																									
PHOSPHOLIPASE-A1-RXN_xrefs				Q9PMU8																									
PHOSPHOLIPASE-A1-RXN_xrefs				P0A921																									
PHOSPHOLIPASE-A1-RXN_xrefs				P18952																									
XANTHOSINE_xrefs			MTBLC18107						HMDB00299				146-80-5			xtsn		1152				C01762			18107	64959			
CPD1F-453_xrefs			MTBLC30200						HMDB37429													C12249			30200	25203515			LMPK12111725
6.2.1.34-RXN_xrefs																	R02194												
ZYMOSTEROL_xrefs									HMDB06271				128-33-6									C05437			18252	92746			
CPD-403_xrefs																		10701768				C03986			36558	54691710			
NAPHTHOATE-SYN-RXN_xrefs				Q9CHK2													R07263				26562								
NAPHTHOATE-SYN-RXN_xrefs				P44960																									
NAPHTHOATE-SYN-RXN_xrefs				P0ABU0																									
NAPHTHOATE-SYN-RXN_xrefs				P23966																									
NAPHTHOATE-SYN-RXN_xrefs				Q59464																									
NAPHTHOATE-SYN-RXN_xrefs				P73495																									
RXN0-1401_xrefs																	R06836				20109								
3.6.3.7-RXN_xrefs																					14633								
CPD-13166_xrefs																									68669	70678926			
NARINGENIN-7-O-BETA-D-GLUCOSIDE_xrefs																						C09099			28327	92794			
DITHIOTHREITOL_xrefs			MTBLC42106						HMDB13593				3483-12-3					388336	Dithiothreitol			C00265			42106	439196			
LANOSTEROL-SYNTHASE-RXN_xrefs				P48449													R03199				14621								
LANOSTEROL-SYNTHASE-RXN_xrefs				Q10231																									
LANOSTEROL-SYNTHASE-RXN_xrefs				Q04782																									
LANOSTEROL-SYNTHASE-RXN_xrefs				P38604																									
LANOSTEROL-SYNTHASE-RXN_xrefs				Q59080																									
CPD0-2232_xrefs									HMDB03932							3hhdcoa						C05258			62613	49859614			
PHESYN_xrefs											PHESYN																		
CPD-12401_xrefs																										46173367			
CPD0-1028_xrefs																						C11356			62639	25245826			
2.6.1.50-RXN_xrefs																	R02781				22920								
CPD-13689_xrefs																									71541	70698394			
MANDELONITRILE-LYASE-RXN_xrefs				P52706													R01767				18313								
MANDELONITRILE-LYASE-RXN_xrefs				P52707																									
MANDELONITRILE-LYASE-RXN_xrefs				O22574																									
MANDELONITRILE-LYASE-RXN_xrefs				O50048																									
MANDELONITRILE-LYASE-RXN_xrefs				P52704																									
MANDELONITRILE-LYASE-RXN_xrefs				Q9M4V5																									
MANDELONITRILE-LYASE-RXN_xrefs				O82784																									
RUTIN_xrefs			MTBLC28527				DB01698		HMDB03249				153-18-4					4444362				C05625			28527	5280805			
PWY0-862_xrefs											PWY0-862																		
AMMONIA_xrefs			MTBLC16134						HMDB00051				7664-41-7		C00007267			217				C00014			16134	222			
TYRAMINE_xrefs			MTBLC327995						HMDB00306				51-67-2			tym		4416910				C00483			327995	5249538			
CPD-13696_xrefs																									86412	90657746			
TRANS-2-HEXENAL_xrefs									HMDB31496				6728-26-3					4444608				C08497			19591	5281168			
GLYCOLATEMET-PWY_xrefs											GLYCOLATEMET-PWY																		
CPD-14705_xrefs																										90659346			
2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET_xrefs																2p4c2me						C11436			57919	46878430			
CPD-8912_xrefs			MTBLC65005				DB04200		HMDB35698									106491				C10682			6698	119205			
PENTOSE-P-PWY_xrefs										PENTOSE-P-PWY	PENTOSE-P-PWY																		
APIGNAR-RXN_xrefs				P11650													R02446												
APIGNAR-RXN_xrefs				P11651																									
APIGNAR-RXN_xrefs				P41088																									
APIGNAR-RXN_xrefs				P14298																									
APIGNAR-RXN_xrefs				Q42925																									
APIGNAR-RXN_xrefs				Q42926																									
APIGNAR-RXN_xrefs				Q08704																									
APIGNAR-RXN_xrefs				P28012																									
APIGNAR-RXN_xrefs				P41089																									
APIGNAR-RXN_xrefs				O81980																									
APIGNAR-RXN_xrefs				O22604																									
APIGNAR-RXN_xrefs				O22651																									
APIGNAR-RXN_xrefs				Q43754																									
RXN-7745_xrefs																	R00994				32718								
4-COUMARATE--COA-LIGASE-RXN_xrefs				P31684													R01616				19641								
4-COUMARATE--COA-LIGASE-RXN_xrefs				P31685																									
4-COUMARATE--COA-LIGASE-RXN_xrefs				Q9SWH8																									
4-COUMARATE--COA-LIGASE-RXN_xrefs				Q9SWH7																									
4-COUMARATE--COA-LIGASE-RXN_xrefs				P17814																									
4-COUMARATE--COA-LIGASE-RXN_xrefs				P31687																									
4-COUMARATE--COA-LIGASE-RXN_xrefs				Q8S5C2																									
4-COUMARATE--COA-LIGASE-RXN_xrefs				P14912																									
4-COUMARATE--COA-LIGASE-RXN_xrefs				P14913																									
4-COUMARATE--COA-LIGASE-RXN_xrefs				P31686																									
4-COUMARATE--COA-LIGASE-RXN_xrefs				Q42524																									
4-COUMARATE--COA-LIGASE-RXN_xrefs				Q42943																									
4-COUMARATE--COA-LIGASE-RXN_xrefs				Q42982																									
4-COUMARATE--COA-LIGASE-RXN_xrefs				P93360																									
4-COUMARATE--COA-LIGASE-RXN_xrefs				P93361																									
4-COUMARATE--COA-LIGASE-RXN_xrefs				O24146																									
4-COUMARATE--COA-LIGASE-RXN_xrefs				O48868																									
4-COUMARATE--COA-LIGASE-RXN_xrefs				O48869																									
4-COUMARATE--COA-LIGASE-RXN_xrefs				O81139																									
4-COUMARATE--COA-LIGASE-RXN_xrefs				O81140																									
4-COUMARATE--COA-LIGASE-RXN_xrefs				P41636																									
DOLICHOL-KINASE-RXN_xrefs																	R01018				13133								
CPD-431_xrefs									HMDB02124				520-36-5									C01477			58470	25200950			LMPK12110005
CPD-10660_xrefs																		15087912								11477			
CPD-12304_xrefs																										90658980			
CPD-3617_xrefs			MTBLC27689						HMDB00511				334-48-5			dca		3866366				C01571			27689	4678093			
LUTEOLIN-7-O-BETA-D-DIGLUCURONIDE_xrefs									HMDB60297													C12632			57815	46878427			
HISTAMINE_xrefs			MTBLC58432						HMDB00870				51-45-6									C00388			58432	25201573			
2-S-HYDROXYPROPYL-COM_xrefs																		7822059				C11498			58430	9543086			
PHOSPHAGLYPSYN-RXN_xrefs				Q9JTH1													R01801				12593								
PHOSPHAGLYPSYN-RXN_xrefs				P46322																									
PHOSPHAGLYPSYN-RXN_xrefs				P44528																									
PHOSPHAGLYPSYN-RXN_xrefs				P47360																									
PHOSPHAGLYPSYN-RXN_xrefs				Q9PNM7																									
PHOSPHAGLYPSYN-RXN_xrefs				O25660																									
PHOSPHAGLYPSYN-RXN_xrefs				O51663																									
PHOSPHAGLYPSYN-RXN_xrefs				O67908																									
PHOSPHAGLYPSYN-RXN_xrefs				Q49839																									
PHOSPHAGLYPSYN-RXN_xrefs				P75520																									
PHOSPHAGLYPSYN-RXN_xrefs				P74372																									
PHOSPHAGLYPSYN-RXN_xrefs				Q48959																									
PHOSPHAGLYPSYN-RXN_xrefs				P0ABF8																									
OHMETPYRKIN-RXN_xrefs				O48881													R03471				23096								
LINB2-RXN_xrefs																	R05370												
CELLOBIOSE_xrefs									HMDB00055				528-50-7					10261				C06422			36217	10712			
CPD-14647_xrefs																						C20692			67192	70678813			
3.4.11.5-RXN_xrefs				P46542													R00135												
3.4.11.5-RXN_xrefs				Q48570																									
3.4.11.5-RXN_xrefs				P47266																									
3.4.11.5-RXN_xrefs				Q9JUV1																									
3.4.11.5-RXN_xrefs				P23974																									
3.4.11.5-RXN_xrefs				P46547																									
3.4.11.5-RXN_xrefs				P94800																									
3.4.11.5-RXN_xrefs				O32449																									
3.4.11.5-RXN_xrefs				P28839																									
3.4.11.5-RXN_xrefs				P42786																									
3.4.11.5-RXN_xrefs				P75092																									
3.4.11.5-RXN_xrefs				P96084																									
CARBAMOYL-P_xrefs			MTBLC58228						HMDB01096				590-55-6			cbp		2666990				C00169			58228	3423467			
PWY-5313_xrefs														PWY-5313															
PWY0-1517_xrefs											PWY0-1517																		
CPD-7875_xrefs									HMDB11638									7917				D05097			77417	8209			
ARGDECARBOX-RXN_xrefs				P21170													R00566				17641								
ARGDECARBOX-RXN_xrefs				Q9PPF5																									
ARGDECARBOX-RXN_xrefs				Q9JT25																									
ARGDECARBOX-RXN_xrefs				P49726																									
ARGDECARBOX-RXN_xrefs				P22220																									
ARGDECARBOX-RXN_xrefs				P28629																									
ARGDECARBOX-RXN_xrefs				Q43075																									
ARGDECARBOX-RXN_xrefs				Q9SI64																									
ARGDECARBOX-RXN_xrefs				P72587																									
ARGDECARBOX-RXN_xrefs				P74576																									
ARGDECARBOX-RXN_xrefs				O24128																									
ARGDECARBOX-RXN_xrefs				O23141																									
