entity_xref	has_metadata@xref	concerns@reaction	concerns@pathway	concerns@compound
6PGLUCONOLACT-RXN_xrefs_6PGLUCONOLACT-RXN__	6PGLUCONOLACT-RXN_xrefs	6PGLUCONOLACT-RXN		
1.8.1.4-RXN_xrefs_1.8.1.4-RXN__	1.8.1.4-RXN_xrefs	1.8.1.4-RXN		
RXN0-949_xrefs_RXN0-949__	RXN0-949_xrefs	RXN0-949		
RXN3O-4113_xrefs_RXN3O-4113__	RXN3O-4113_xrefs	RXN3O-4113		
2.4.1.143-RXN_xrefs_2.4.1.143-RXN__	2.4.1.143-RXN_xrefs	2.4.1.143-RXN		
RXN-13142_xrefs_RXN-13142__	RXN-13142_xrefs	RXN-13142		
R310-RXN_xrefs_R310-RXN__	R310-RXN_xrefs	R310-RXN		
PROGESTERONE-5-ALPHA-REDUCTASE-RXN_xrefs_PROGESTERONE-5-ALPHA-REDUCTASE-RXN__	PROGESTERONE-5-ALPHA-REDUCTASE-RXN_xrefs	PROGESTERONE-5-ALPHA-REDUCTASE-RXN		
1.6.4.4-RXN_xrefs_1.6.4.4-RXN__	1.6.4.4-RXN_xrefs	1.6.4.4-RXN		
RXN-7682_xrefs_RXN-7682__	RXN-7682_xrefs	RXN-7682		
HEME-OXYGENASE-DECYCLIZING-RXN_xrefs_HEME-OXYGENASE-DECYCLIZING-RXN__	HEME-OXYGENASE-DECYCLIZING-RXN_xrefs	HEME-OXYGENASE-DECYCLIZING-RXN		
DIAMINOPIMDECARB-RXN_xrefs_DIAMINOPIMDECARB-RXN__	DIAMINOPIMDECARB-RXN_xrefs	DIAMINOPIMDECARB-RXN		
RXN-12820_xrefs_RXN-12820__	RXN-12820_xrefs	RXN-12820		
SAICARSYN-RXN_xrefs_SAICARSYN-RXN__	SAICARSYN-RXN_xrefs	SAICARSYN-RXN		
HALOALKANE-DEHALOGENASE-RXN_xrefs_HALOALKANE-DEHALOGENASE-RXN__	HALOALKANE-DEHALOGENASE-RXN_xrefs	HALOALKANE-DEHALOGENASE-RXN		
PNPOXI-RXN_xrefs_PNPOXI-RXN__	PNPOXI-RXN_xrefs	PNPOXI-RXN		
RXN-9246_xrefs_RXN-9246__	RXN-9246_xrefs	RXN-9246		
4.2.1.93-RXN_xrefs_4.2.1.93-RXN__	4.2.1.93-RXN_xrefs	4.2.1.93-RXN		
3.3.2.10-RXN_xrefs_3.3.2.10-RXN__	3.3.2.10-RXN_xrefs	3.3.2.10-RXN		
RXN-9847_xrefs_RXN-9847__	RXN-9847_xrefs	RXN-9847		
OROPRIBTRANS-RXN_xrefs_OROPRIBTRANS-RXN__	OROPRIBTRANS-RXN_xrefs	OROPRIBTRANS-RXN		
ASPARAGHYD-RXN_xrefs_ASPARAGHYD-RXN__	ASPARAGHYD-RXN_xrefs	ASPARAGHYD-RXN		
R621-RXN_xrefs_R621-RXN__	R621-RXN_xrefs	R621-RXN		
THIOL-OXIDASE-RXN_xrefs_THIOL-OXIDASE-RXN__	THIOL-OXIDASE-RXN_xrefs	THIOL-OXIDASE-RXN		
RXN1F-10_xrefs_RXN1F-10__	RXN1F-10_xrefs	RXN1F-10		
RXN0-5408_xrefs_RXN0-5408__	RXN0-5408_xrefs	RXN0-5408		
RXN-12458_xrefs_RXN-12458__	RXN-12458_xrefs	RXN-12458		
RXN66-306_xrefs_RXN66-306__	RXN66-306_xrefs	RXN66-306		
GLYCOGEN-BRANCH-RXN_xrefs_GLYCOGEN-BRANCH-RXN__	GLYCOGEN-BRANCH-RXN_xrefs	GLYCOGEN-BRANCH-RXN		
RXN-709_xrefs_RXN-709__	RXN-709_xrefs	RXN-709		
