entity_xref	has_metadata@xref	concerns@reaction	concerns@pathway	concerns@compound
UREIDOGLYCOLATE-HYDROLASE-RXN_xrefs_UREIDOGLYCOLATE-HYDROLASE-RXN__	UREIDOGLYCOLATE-HYDROLASE-RXN_xrefs	UREIDOGLYCOLATE-HYDROLASE-RXN		
GMP-SYN-GLUT-RXN_xrefs_GMP-SYN-GLUT-RXN__	GMP-SYN-GLUT-RXN_xrefs	GMP-SYN-GLUT-RXN		
RXNQT-4174_xrefs_RXNQT-4174__	RXNQT-4174_xrefs	RXNQT-4174		
1.14.12.15-RXN_xrefs_1.14.12.15-RXN__	1.14.12.15-RXN_xrefs	1.14.12.15-RXN		
3.6.3.1-RXN_xrefs_3.6.3.1-RXN__	3.6.3.1-RXN_xrefs	3.6.3.1-RXN		
1TRANSKETO-RXN_xrefs_1TRANSKETO-RXN__	1TRANSKETO-RXN_xrefs	1TRANSKETO-RXN		
GLUTSEMIALDEHYDROG-RXN_xrefs_GLUTSEMIALDEHYDROG-RXN__	GLUTSEMIALDEHYDROG-RXN_xrefs	GLUTSEMIALDEHYDROG-RXN		
KDOTRANS2-RXN_xrefs_KDOTRANS2-RXN__	KDOTRANS2-RXN_xrefs	KDOTRANS2-RXN		
RXN-646_xrefs_RXN-646__	RXN-646_xrefs	RXN-646		
2.5.1.20-RXN_xrefs_2.5.1.20-RXN__	2.5.1.20-RXN_xrefs	2.5.1.20-RXN		
CARDIOLIPSYN-RXN_xrefs_CARDIOLIPSYN-RXN__	CARDIOLIPSYN-RXN_xrefs	CARDIOLIPSYN-RXN		
RXN-6271_xrefs_RXN-6271__	RXN-6271_xrefs	RXN-6271		
2TRANSKETO-RXN_xrefs_2TRANSKETO-RXN__	2TRANSKETO-RXN_xrefs	2TRANSKETO-RXN		
GUANPRIBOSYLTRAN-RXN_xrefs_GUANPRIBOSYLTRAN-RXN__	GUANPRIBOSYLTRAN-RXN_xrefs	GUANPRIBOSYLTRAN-RXN		
BETA-LACTAMASE-RXN_xrefs_BETA-LACTAMASE-RXN__	BETA-LACTAMASE-RXN_xrefs	BETA-LACTAMASE-RXN		
ACETOLACTSYN-RXN_xrefs_ACETOLACTSYN-RXN__	ACETOLACTSYN-RXN_xrefs	ACETOLACTSYN-RXN		
RXN-5286_xrefs_RXN-5286__	RXN-5286_xrefs	RXN-5286		
IMP-DEHYDROG-RXN_xrefs_IMP-DEHYDROG-RXN__	IMP-DEHYDROG-RXN_xrefs	IMP-DEHYDROG-RXN		
RXN3O-54_xrefs_RXN3O-54__	RXN3O-54_xrefs	RXN3O-54		
1.10.2.2-RXN_xrefs_1.10.2.2-RXN__	1.10.2.2-RXN_xrefs	1.10.2.2-RXN		
RXN-11354_xrefs_RXN-11354__	RXN-11354_xrefs	RXN-11354		
GALACTOKIN-RXN_xrefs_GALACTOKIN-RXN__	GALACTOKIN-RXN_xrefs	GALACTOKIN-RXN		
RXN-12618_xrefs_RXN-12618__	RXN-12618_xrefs	RXN-12618		
PREPHENATEDEHYDRAT-RXN_xrefs_PREPHENATEDEHYDRAT-RXN__	PREPHENATEDEHYDRAT-RXN_xrefs	PREPHENATEDEHYDRAT-RXN		
RXN-11754_xrefs_RXN-11754__	RXN-11754_xrefs	RXN-11754		
OHMETPYRKIN-RXN_xrefs_OHMETPYRKIN-RXN__	OHMETPYRKIN-RXN_xrefs	OHMETPYRKIN-RXN		
RXN-1404_xrefs_RXN-1404__	RXN-1404_xrefs	RXN-1404		
RXN-3221_xrefs_RXN-3221__	RXN-3221_xrefs	RXN-3221		
ACETYL-COA-HYDROLASE-RXN_xrefs_ACETYL-COA-HYDROLASE-RXN__	ACETYL-COA-HYDROLASE-RXN_xrefs	ACETYL-COA-HYDROLASE-RXN		
RXN-90_xrefs_RXN-90__	RXN-90_xrefs	RXN-90		
ASPARAGINE--TRNA-LIGASE-RXN_xrefs_ASPARAGINE--TRNA-LIGASE-RXN__	ASPARAGINE--TRNA-LIGASE-RXN_xrefs	ASPARAGINE--TRNA-LIGASE-RXN		
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN_xrefs_ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN__	ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN_xrefs	ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN		
RXN-8991_xrefs_RXN-8991__	RXN-8991_xrefs	RXN-8991		
RXN-12905_xrefs_RXN-12905__	RXN-12905_xrefs	RXN-12905		
GART-RXN_xrefs_GART-RXN__	GART-RXN_xrefs	GART-RXN		
RXN-11921_xrefs_RXN-11921__	RXN-11921_xrefs	RXN-11921		
2-KETO-ADIPATE-DEHYDROG-RXN_xrefs_2-KETO-ADIPATE-DEHYDROG-RXN__	2-KETO-ADIPATE-DEHYDROG-RXN_xrefs	2-KETO-ADIPATE-DEHYDROG-RXN		
ACETATE--COA-LIGASE-RXN_xrefs_ACETATE--COA-LIGASE-RXN__	ACETATE--COA-LIGASE-RXN_xrefs	ACETATE--COA-LIGASE-RXN		
RXN-14102_xrefs_RXN-14102__	RXN-14102_xrefs	RXN-14102		
RXN-11832_xrefs_RXN-11832__	RXN-11832_xrefs	RXN-11832		
RXN-11326_xrefs_RXN-11326__	RXN-11326_xrefs	RXN-11326		
RXN-8999_xrefs_RXN-8999__	RXN-8999_xrefs	RXN-8999		
LEUKOTRIENE-A4-HYDROLASE-RXN_xrefs_LEUKOTRIENE-A4-HYDROLASE-RXN__	LEUKOTRIENE-A4-HYDROLASE-RXN_xrefs	LEUKOTRIENE-A4-HYDROLASE-RXN		
S-FORMYLGLUTATHIONE-HYDROLASE-RXN_xrefs_S-FORMYLGLUTATHIONE-HYDROLASE-RXN__	S-FORMYLGLUTATHIONE-HYDROLASE-RXN_xrefs	S-FORMYLGLUTATHIONE-HYDROLASE-RXN		
ETHANOLAMINEPHOSPHOTRANSFERASE-RXN_xrefs_ETHANOLAMINEPHOSPHOTRANSFERASE-RXN__	ETHANOLAMINEPHOSPHOTRANSFERASE-RXN_xrefs	ETHANOLAMINEPHOSPHOTRANSFERASE-RXN		
3.2.1.96-RXN_xrefs_3.2.1.96-RXN__	3.2.1.96-RXN_xrefs	3.2.1.96-RXN		
3.1.21.4-RXN_xrefs_3.1.21.4-RXN__	3.1.21.4-RXN_xrefs	3.1.21.4-RXN		
ADENYLYLSULFATE-REDUCTASE-RXN_xrefs_ADENYLYLSULFATE-REDUCTASE-RXN__	ADENYLYLSULFATE-REDUCTASE-RXN_xrefs	ADENYLYLSULFATE-REDUCTASE-RXN		
DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN_xrefs_DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN__	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN_xrefs	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN		
ENDOGLYCOSYLCERAMIDASE-RXN_xrefs_ENDOGLYCOSYLCERAMIDASE-RXN__	ENDOGLYCOSYLCERAMIDASE-RXN_xrefs	ENDOGLYCOSYLCERAMIDASE-RXN		
FOLYLPOLYGLUTAMATESYNTH-RXN_xrefs_FOLYLPOLYGLUTAMATESYNTH-RXN__	FOLYLPOLYGLUTAMATESYNTH-RXN_xrefs	FOLYLPOLYGLUTAMATESYNTH-RXN		
RXN-8963_xrefs_RXN-8963__	RXN-8963_xrefs	RXN-8963		
RXN-12616_xrefs_RXN-12616__	RXN-12616_xrefs	RXN-12616		
RXN-4510_xrefs_RXN-4510__	RXN-4510_xrefs	RXN-4510		
TROPINE-DEHYDROGENASE-RXN_xrefs_TROPINE-DEHYDROGENASE-RXN__	TROPINE-DEHYDROGENASE-RXN_xrefs	TROPINE-DEHYDROGENASE-RXN		
ENTF-RXN_xrefs_ENTF-RXN__	ENTF-RXN_xrefs	ENTF-RXN		
LYSYLTRANSFERASE-RXN_xrefs_LYSYLTRANSFERASE-RXN__	LYSYLTRANSFERASE-RXN_xrefs	LYSYLTRANSFERASE-RXN		
2.4.1.212-RXN_xrefs_2.4.1.212-RXN__	2.4.1.212-RXN_xrefs	2.4.1.212-RXN		
GLUTAMINE--TRNA-LIGASE-RXN_xrefs_GLUTAMINE--TRNA-LIGASE-RXN__	GLUTAMINE--TRNA-LIGASE-RXN_xrefs	GLUTAMINE--TRNA-LIGASE-RXN		
PEPTIDE-ASPARTATE-BETA-DIOXYGENASE-RXN_xrefs_PEPTIDE-ASPARTATE-BETA-DIOXYGENASE-RXN__	PEPTIDE-ASPARTATE-BETA-DIOXYGENASE-RXN_xrefs	PEPTIDE-ASPARTATE-BETA-DIOXYGENASE-RXN		
GLUTAMINESYN-RXN_xrefs_GLUTAMINESYN-RXN__	GLUTAMINESYN-RXN_xrefs	GLUTAMINESYN-RXN		
1.2.1.9-RXN_xrefs_1.2.1.9-RXN__	1.2.1.9-RXN_xrefs	1.2.1.9-RXN		
AICARSYN-RXN_xrefs_AICARSYN-RXN__	AICARSYN-RXN_xrefs	AICARSYN-RXN		
RXN-5821_xrefs_RXN-5821__	RXN-5821_xrefs	RXN-5821		
RXN-15300_xrefs_RXN-15300__	RXN-15300_xrefs	RXN-15300		
4-NITROPHENYLPHOSPHATASE-RXN_xrefs_4-NITROPHENYLPHOSPHATASE-RXN__	4-NITROPHENYLPHOSPHATASE-RXN_xrefs	4-NITROPHENYLPHOSPHATASE-RXN		
GLYOXIII-RXN_xrefs_GLYOXIII-RXN__	GLYOXIII-RXN_xrefs	GLYOXIII-RXN		
RXN-12393_xrefs_RXN-12393__	RXN-12393_xrefs	RXN-12393		
RXN-7648_xrefs_RXN-7648__	RXN-7648_xrefs	RXN-7648		
ARGININE--TRNA-LIGASE-RXN_xrefs_ARGININE--TRNA-LIGASE-RXN__	ARGININE--TRNA-LIGASE-RXN_xrefs	ARGININE--TRNA-LIGASE-RXN		
2.7.1.154-RXN_xrefs_2.7.1.154-RXN__	2.7.1.154-RXN_xrefs	2.7.1.154-RXN		
EXOPOLYPHOSPHATASE-RXN_xrefs_EXOPOLYPHOSPHATASE-RXN__	EXOPOLYPHOSPHATASE-RXN_xrefs	EXOPOLYPHOSPHATASE-RXN		
2.1.1.77-RXN_xrefs_2.1.1.77-RXN__	2.1.1.77-RXN_xrefs	2.1.1.77-RXN		
RXN0-5114_xrefs_RXN0-5114__	RXN0-5114_xrefs	RXN0-5114		
1.8.4.9-RXN_xrefs_1.8.4.9-RXN__	1.8.4.9-RXN_xrefs	1.8.4.9-RXN		
CPM-KDOSYNTH-RXN_xrefs_CPM-KDOSYNTH-RXN__	CPM-KDOSYNTH-RXN_xrefs	CPM-KDOSYNTH-RXN		
UDP-ARABINOSE-4-EPIMERASE-RXN_xrefs_UDP-ARABINOSE-4-EPIMERASE-RXN__	UDP-ARABINOSE-4-EPIMERASE-RXN_xrefs	UDP-ARABINOSE-4-EPIMERASE-RXN		
PRIBFAICARPISOM-RXN_xrefs_PRIBFAICARPISOM-RXN__	PRIBFAICARPISOM-RXN_xrefs	PRIBFAICARPISOM-RXN		
ACETYL-COA-ACETYLTRANSFER-RXN_xrefs_ACETYL-COA-ACETYLTRANSFER-RXN__	ACETYL-COA-ACETYLTRANSFER-RXN_xrefs	ACETYL-COA-ACETYLTRANSFER-RXN		
CHOLINESTERASE-RXN_xrefs_CHOLINESTERASE-RXN__	CHOLINESTERASE-RXN_xrefs	CHOLINESTERASE-RXN		
2.3.1.75-RXN_xrefs_2.3.1.75-RXN__	2.3.1.75-RXN_xrefs	2.3.1.75-RXN		
4.2.3.11-RXN_xrefs_4.2.3.11-RXN__	4.2.3.11-RXN_xrefs	4.2.3.11-RXN		
RXN0-947_xrefs_RXN0-947__	RXN0-947_xrefs	RXN0-947		
2.7.11.19-RXN_xrefs_2.7.11.19-RXN__	2.7.11.19-RXN_xrefs	2.7.11.19-RXN		
2.4.1.213-RXN_xrefs_2.4.1.213-RXN__	2.4.1.213-RXN_xrefs	2.4.1.213-RXN		
1.14.11.9-RXN_xrefs_1.14.11.9-RXN__	1.14.11.9-RXN_xrefs	1.14.11.9-RXN		
2.7.7.14-RXN_xrefs_2.7.7.14-RXN__	2.7.7.14-RXN_xrefs	2.7.7.14-RXN		
GTP-CYCLOHYDRO-I-RXN_xrefs_GTP-CYCLOHYDRO-I-RXN__	GTP-CYCLOHYDRO-I-RXN_xrefs	GTP-CYCLOHYDRO-I-RXN		
DCMP-DEAMINASE-RXN_xrefs_DCMP-DEAMINASE-RXN__	DCMP-DEAMINASE-RXN_xrefs	DCMP-DEAMINASE-RXN		
PANTOTHENATE-KIN-RXN_xrefs_PANTOTHENATE-KIN-RXN__	PANTOTHENATE-KIN-RXN_xrefs	PANTOTHENATE-KIN-RXN		
1.2.1.45-RXN_xrefs_1.2.1.45-RXN__	1.2.1.45-RXN_xrefs	1.2.1.45-RXN		
AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN_xrefs_AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN__	AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN_xrefs	AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN		
UDP-GLUCURONATE-4-EPIMERASE-RXN_xrefs_UDP-GLUCURONATE-4-EPIMERASE-RXN__	UDP-GLUCURONATE-4-EPIMERASE-RXN_xrefs	UDP-GLUCURONATE-4-EPIMERASE-RXN		
URIDINE-NUCLEOSIDASE-RXN_xrefs_URIDINE-NUCLEOSIDASE-RXN__	URIDINE-NUCLEOSIDASE-RXN_xrefs	URIDINE-NUCLEOSIDASE-RXN		
RNA-LIGASE-ATP-RXN_xrefs_RNA-LIGASE-ATP-RXN__	RNA-LIGASE-ATP-RXN_xrefs	RNA-LIGASE-ATP-RXN		
3.2.2.22-RXN_xrefs_3.2.2.22-RXN__	3.2.2.22-RXN_xrefs	3.2.2.22-RXN		
1.5.1.7-RXN_xrefs_1.5.1.7-RXN__	1.5.1.7-RXN_xrefs	1.5.1.7-RXN		
3.2.1.73-RXN_xrefs_3.2.1.73-RXN__	3.2.1.73-RXN_xrefs	3.2.1.73-RXN		
RXN-8415_xrefs_RXN-8415__	RXN-8415_xrefs	RXN-8415		
2.1.1.140-RXN_xrefs_2.1.1.140-RXN__	2.1.1.140-RXN_xrefs	2.1.1.140-RXN		
R145-RXN_xrefs_R145-RXN__	R145-RXN_xrefs	R145-RXN		
3.1.4.37-RXN_xrefs_3.1.4.37-RXN__	3.1.4.37-RXN_xrefs	3.1.4.37-RXN		
AGMATINE-DEIMINASE-RXN_xrefs_AGMATINE-DEIMINASE-RXN__	AGMATINE-DEIMINASE-RXN_xrefs	AGMATINE-DEIMINASE-RXN		
1.18.1.2-RXN_xrefs_1.18.1.2-RXN__	1.18.1.2-RXN_xrefs	1.18.1.2-RXN		
THIAZOLSYN2-RXN_xrefs_THIAZOLSYN2-RXN__	THIAZOLSYN2-RXN_xrefs	THIAZOLSYN2-RXN		
ETHANOLAMINE-KINASE-RXN_xrefs_ETHANOLAMINE-KINASE-RXN__	ETHANOLAMINE-KINASE-RXN_xrefs	ETHANOLAMINE-KINASE-RXN		
RXN-1126_xrefs_RXN-1126__	RXN-1126_xrefs	RXN-1126		
RXN-8151_xrefs_RXN-8151__	RXN-8151_xrefs	RXN-8151		
FPPSYN-RXN_xrefs_FPPSYN-RXN__	FPPSYN-RXN_xrefs	FPPSYN-RXN		
THREONINE-ALDOLASE-RXN_xrefs_THREONINE-ALDOLASE-RXN__	THREONINE-ALDOLASE-RXN_xrefs	THREONINE-ALDOLASE-RXN		
RXN-8580_xrefs_RXN-8580__	RXN-8580_xrefs	RXN-8580		
DIHYDROXYISOVALDEHYDRAT-RXN_xrefs_DIHYDROXYISOVALDEHYDRAT-RXN__	DIHYDROXYISOVALDEHYDRAT-RXN_xrefs	DIHYDROXYISOVALDEHYDRAT-RXN		
ENOYL-ACP-REDUCT-NADH-RXN_xrefs_ENOYL-ACP-REDUCT-NADH-RXN__	ENOYL-ACP-REDUCT-NADH-RXN_xrefs	ENOYL-ACP-REDUCT-NADH-RXN		
BRANCHED-CHAINAMINOTRANSFERVAL-RXN_xrefs_BRANCHED-CHAINAMINOTRANSFERVAL-RXN__	BRANCHED-CHAINAMINOTRANSFERVAL-RXN_xrefs	BRANCHED-CHAINAMINOTRANSFERVAL-RXN		
RXN-11080_xrefs_RXN-11080__	RXN-11080_xrefs	RXN-11080		
RXN1F-72_xrefs_RXN1F-72__	RXN1F-72_xrefs	RXN1F-72		
5.3.4.1-RXN_xrefs_5.3.4.1-RXN__	5.3.4.1-RXN_xrefs	5.3.4.1-RXN		
RR-BUTANEDIOL-DEHYDROGENASE-RXN_xrefs_RR-BUTANEDIOL-DEHYDROGENASE-RXN__	RR-BUTANEDIOL-DEHYDROGENASE-RXN_xrefs	RR-BUTANEDIOL-DEHYDROGENASE-RXN		
HOMOCYSMET-RXN_xrefs_HOMOCYSMET-RXN__	HOMOCYSMET-RXN_xrefs	HOMOCYSMET-RXN		
RXN-7609_xrefs_RXN-7609__	RXN-7609_xrefs	RXN-7609		
RXN-10821_xrefs_RXN-10821__	RXN-10821_xrefs	RXN-10821		
RXN6666-2_xrefs_RXN6666-2__	RXN6666-2_xrefs	RXN6666-2		
R342-RXN_xrefs_R342-RXN__	R342-RXN_xrefs	R342-RXN		
RXN-7241_xrefs_RXN-7241__	RXN-7241_xrefs	RXN-7241		
MALATE-DEH-RXN_xrefs_MALATE-DEH-RXN__	MALATE-DEH-RXN_xrefs	MALATE-DEH-RXN		
RXN-14140_xrefs_RXN-14140__	RXN-14140_xrefs	RXN-14140		
RXN1F-775_xrefs_RXN1F-775__	RXN1F-775_xrefs	RXN1F-775		
RXN-5464_xrefs_RXN-5464__	RXN-5464_xrefs	RXN-5464		
RXN-14047_xrefs_RXN-14047__	RXN-14047_xrefs	RXN-14047		
GLYCPDIESTER-RXN_xrefs_GLYCPDIESTER-RXN__	GLYCPDIESTER-RXN_xrefs	GLYCPDIESTER-RXN		
3.6.3.36-RXN_xrefs_3.6.3.36-RXN__	3.6.3.36-RXN_xrefs	3.6.3.36-RXN		
3-ISOPROPYLMALISOM-RXN_xrefs_3-ISOPROPYLMALISOM-RXN__	3-ISOPROPYLMALISOM-RXN_xrefs	3-ISOPROPYLMALISOM-RXN		
ATPASE-RXN_xrefs_ATPASE-RXN__	ATPASE-RXN_xrefs	ATPASE-RXN		
RXN-13612_xrefs_RXN-13612__	RXN-13612_xrefs	RXN-13612		
RXN-12346_xrefs_RXN-12346__	RXN-12346_xrefs	RXN-12346		
CARBOXYLESTERASE-RXN_xrefs_CARBOXYLESTERASE-RXN__	CARBOXYLESTERASE-RXN_xrefs	CARBOXYLESTERASE-RXN		
RXN-15130_xrefs_RXN-15130__	RXN-15130_xrefs	RXN-15130		
RXN66-321_xrefs_RXN66-321__	RXN66-321_xrefs	RXN66-321		
GLUTAMATE-N-ACETYLTRANSFERASE-RXN_xrefs_GLUTAMATE-N-ACETYLTRANSFERASE-RXN__	GLUTAMATE-N-ACETYLTRANSFERASE-RXN_xrefs	GLUTAMATE-N-ACETYLTRANSFERASE-RXN		
RXN-8988_xrefs_RXN-8988__	RXN-8988_xrefs	RXN-8988		
RXN-7163_xrefs_RXN-7163__	RXN-7163_xrefs	RXN-7163		
3.1.3.77-RXN_xrefs_3.1.3.77-RXN__	3.1.3.77-RXN_xrefs	3.1.3.77-RXN		
RXN-2425_xrefs_RXN-2425__	RXN-2425_xrefs	RXN-2425		
GLYOXI-RXN_xrefs_GLYOXI-RXN__	GLYOXI-RXN_xrefs	GLYOXI-RXN		
ISOCITRATE-DEHYDROGENASE-NAD+-RXN_xrefs_ISOCITRATE-DEHYDROGENASE-NAD+-RXN__	ISOCITRATE-DEHYDROGENASE-NAD+-RXN_xrefs	ISOCITRATE-DEHYDROGENASE-NAD+-RXN		
UTPHEXPURIDYLYLTRANS-RXN_xrefs_UTPHEXPURIDYLYLTRANS-RXN__	UTPHEXPURIDYLYLTRANS-RXN_xrefs	UTPHEXPURIDYLYLTRANS-RXN		
RXN-1125_xrefs_RXN-1125__	RXN-1125_xrefs	RXN-1125		
CHOLATE--COA-LIGASE-RXN_xrefs_CHOLATE--COA-LIGASE-RXN__	CHOLATE--COA-LIGASE-RXN_xrefs	CHOLATE--COA-LIGASE-RXN		
LYSINE--TRNA-LIGASE-RXN_xrefs_LYSINE--TRNA-LIGASE-RXN__	LYSINE--TRNA-LIGASE-RXN_xrefs	LYSINE--TRNA-LIGASE-RXN		
2-NITROPROPANE-DIOXYGENASE-RXN_xrefs_2-NITROPROPANE-DIOXYGENASE-RXN__	2-NITROPROPANE-DIOXYGENASE-RXN_xrefs	2-NITROPROPANE-DIOXYGENASE-RXN		
2OXOGLUTDECARB-RXN_xrefs_2OXOGLUTDECARB-RXN__	2OXOGLUTDECARB-RXN_xrefs	2OXOGLUTDECARB-RXN		
3-DEHYDROSPHINGANINE-REDUCTASE-RXN_xrefs_3-DEHYDROSPHINGANINE-REDUCTASE-RXN__	3-DEHYDROSPHINGANINE-REDUCTASE-RXN_xrefs	3-DEHYDROSPHINGANINE-REDUCTASE-RXN		
RXN-802_xrefs_RXN-802__	RXN-802_xrefs	RXN-802		
URIDINEKIN-RXN_xrefs_URIDINEKIN-RXN__	URIDINEKIN-RXN_xrefs	URIDINEKIN-RXN		
RXN-8096_xrefs_RXN-8096__	RXN-8096_xrefs	RXN-8096		
RXN-7699_xrefs_RXN-7699__	RXN-7699_xrefs	RXN-7699		
DIAMINOPIMELATE-DEHYDROGENASE-RXN_xrefs_DIAMINOPIMELATE-DEHYDROGENASE-RXN__	DIAMINOPIMELATE-DEHYDROGENASE-RXN_xrefs	DIAMINOPIMELATE-DEHYDROGENASE-RXN		
ALDOSE-1-EPIMERASE-RXN_xrefs_ALDOSE-1-EPIMERASE-RXN__	ALDOSE-1-EPIMERASE-RXN_xrefs	ALDOSE-1-EPIMERASE-RXN		
RXN-37_xrefs_RXN-37__	RXN-37_xrefs	RXN-37		
PLASMALOGEN-SYNTHASE-RXN_xrefs_PLASMALOGEN-SYNTHASE-RXN__	PLASMALOGEN-SYNTHASE-RXN_xrefs	PLASMALOGEN-SYNTHASE-RXN		
O-AMINOPHENOL-OXIDASE-RXN_xrefs_O-AMINOPHENOL-OXIDASE-RXN__	O-AMINOPHENOL-OXIDASE-RXN_xrefs	O-AMINOPHENOL-OXIDASE-RXN		
SPHINGOMYELIN-PHOSPHODIESTERASE-RXN_xrefs_SPHINGOMYELIN-PHOSPHODIESTERASE-RXN__	SPHINGOMYELIN-PHOSPHODIESTERASE-RXN_xrefs	SPHINGOMYELIN-PHOSPHODIESTERASE-RXN		
RXN-13202_xrefs_RXN-13202__	RXN-13202_xrefs	RXN-13202		
RXN-7871_xrefs_RXN-7871__	RXN-7871_xrefs	RXN-7871		
RXN-6701_xrefs_RXN-6701__	RXN-6701_xrefs	RXN-6701		
GUANIDINOBUTANAMIDE-NH3-RXN_xrefs_GUANIDINOBUTANAMIDE-NH3-RXN__	GUANIDINOBUTANAMIDE-NH3-RXN_xrefs	GUANIDINOBUTANAMIDE-NH3-RXN		
RXN-7710_xrefs_RXN-7710__	RXN-7710_xrefs	RXN-7710		
2PGADEHYDRAT-RXN_xrefs_2PGADEHYDRAT-RXN__	2PGADEHYDRAT-RXN_xrefs	2PGADEHYDRAT-RXN		
METHIONINE--TRNA-LIGASE-RXN_xrefs_METHIONINE--TRNA-LIGASE-RXN__	METHIONINE--TRNA-LIGASE-RXN_xrefs	METHIONINE--TRNA-LIGASE-RXN		
RXN0-5182_xrefs_RXN0-5182__	RXN0-5182_xrefs	RXN0-5182		
RIB5PISOM-RXN_xrefs_RIB5PISOM-RXN__	RIB5PISOM-RXN_xrefs	RIB5PISOM-RXN		
RXN-12091_xrefs_RXN-12091__	RXN-12091_xrefs	RXN-12091		
DTDPKIN-RXN_xrefs_DTDPKIN-RXN__	DTDPKIN-RXN_xrefs	DTDPKIN-RXN		
DHHB-METHYLTRANSFER-RXN_xrefs_DHHB-METHYLTRANSFER-RXN__	DHHB-METHYLTRANSFER-RXN_xrefs	DHHB-METHYLTRANSFER-RXN		
3.1.11.2-RXN_xrefs_3.1.11.2-RXN__	3.1.11.2-RXN_xrefs	3.1.11.2-RXN		
CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN_xrefs_CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN__	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN_xrefs	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN		
2.3.1.158-RXN_xrefs_2.3.1.158-RXN__	2.3.1.158-RXN_xrefs	2.3.1.158-RXN		
SEDOHEPTULOSE-BISPHOSPHATASE-RXN_xrefs_SEDOHEPTULOSE-BISPHOSPHATASE-RXN__	SEDOHEPTULOSE-BISPHOSPHATASE-RXN_xrefs	SEDOHEPTULOSE-BISPHOSPHATASE-RXN		
5.1.1.18-RXN_xrefs_5.1.1.18-RXN__	5.1.1.18-RXN_xrefs	5.1.1.18-RXN		
DIAMINOPIMEPIM-RXN_xrefs_DIAMINOPIMEPIM-RXN__	DIAMINOPIMEPIM-RXN_xrefs	DIAMINOPIMEPIM-RXN		
ANTHRANSYN-RXN_xrefs_ANTHRANSYN-RXN__	ANTHRANSYN-RXN_xrefs	ANTHRANSYN-RXN		
6-PHOSPHOFRUCTO-2-KINASE-RXN_xrefs_6-PHOSPHOFRUCTO-2-KINASE-RXN__	6-PHOSPHOFRUCTO-2-KINASE-RXN_xrefs	6-PHOSPHOFRUCTO-2-KINASE-RXN		
RXN-1824_xrefs_RXN-1824__	RXN-1824_xrefs	RXN-1824		
RXN-8668_xrefs_RXN-8668__	RXN-8668_xrefs	RXN-8668		
NITRATE-REDUCTASE-NADPH-RXN_xrefs_NITRATE-REDUCTASE-NADPH-RXN__	NITRATE-REDUCTASE-NADPH-RXN_xrefs	NITRATE-REDUCTASE-NADPH-RXN		
RXN-13414_xrefs_RXN-13414__	RXN-13414_xrefs	RXN-13414		
TRANS-OCTAPRENYLTRANSTRANSFERASE-RXN_xrefs_TRANS-OCTAPRENYLTRANSTRANSFERASE-RXN__	TRANS-OCTAPRENYLTRANSTRANSFERASE-RXN_xrefs	TRANS-OCTAPRENYLTRANSTRANSFERASE-RXN		
RXN-5284_xrefs_RXN-5284__	RXN-5284_xrefs	RXN-5284		
FGAMSYN-RXN_xrefs_FGAMSYN-RXN__	FGAMSYN-RXN_xrefs	FGAMSYN-RXN		
H2PTERIDINEPYROPHOSPHOKIN-RXN_xrefs_H2PTERIDINEPYROPHOSPHOKIN-RXN__	H2PTERIDINEPYROPHOSPHOKIN-RXN_xrefs	H2PTERIDINEPYROPHOSPHOKIN-RXN		
RXN-7984_xrefs_RXN-7984__	RXN-7984_xrefs	RXN-7984		
1.1.1.215-RXN_xrefs_1.1.1.215-RXN__	1.1.1.215-RXN_xrefs	1.1.1.215-RXN		
SHIKIMATE-KINASE-RXN_xrefs_SHIKIMATE-KINASE-RXN__	SHIKIMATE-KINASE-RXN_xrefs	SHIKIMATE-KINASE-RXN		
DNA-DIRECTED-DNA-POLYMERASE-RXN_xrefs_DNA-DIRECTED-DNA-POLYMERASE-RXN__	DNA-DIRECTED-DNA-POLYMERASE-RXN_xrefs	DNA-DIRECTED-DNA-POLYMERASE-RXN		
SULFATE-ADENYLYLTRANS-RXN_xrefs_SULFATE-ADENYLYLTRANS-RXN__	SULFATE-ADENYLYLTRANS-RXN_xrefs	SULFATE-ADENYLYLTRANS-RXN		
PMPOXI-RXN_xrefs_PMPOXI-RXN__	PMPOXI-RXN_xrefs	PMPOXI-RXN		
KETOISOCAPROATE-RXN_xrefs_KETOISOCAPROATE-RXN__	KETOISOCAPROATE-RXN_xrefs	KETOISOCAPROATE-RXN		
